This file contains the LC params of SN2011fe in filter-B

#-----------------------------#

#-----------------------------#
Jd at maximum in B band is: 2455817.229819 +/- 1.017716
Magnitude at maximum in B band is: 7.201071 +/- 0.229894
#-----------------------------#
#-----------------------------#
JD after 15-days from B band maximum is: 2455832.229819
Magnitude after 15-days from B band maximum is: 9.819628 +/- 0.230034
Estimated value of dm15 is: 2.618557 +/- 0.325219
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2455790.426100           19.820190       0.143401

2455790.550191           19.763355       0.141051

2455790.674283           19.705835       0.138708

2455790.798374           19.647632       0.136375

2455790.922465           19.588746       0.134051

2455791.046556           19.529179       0.131737

2455791.170648           19.468931       0.129432

2455791.294739           19.408005       0.127138

2455791.418830           19.346402       0.124854

2455791.542922           19.284123       0.122582

2455791.667013           19.221171       0.120320

2455791.791104           19.157549       0.118069

2455791.915195           19.093258       0.115831

2455792.039287           19.028301       0.113605

2455792.163378           18.962681       0.111391

2455792.287469           18.896400       0.109189

2455792.411561           18.829463       0.107001

2455792.535652           18.761872       0.104826

2455792.659743           18.693631       0.102665

2455792.783835           18.624743       0.100518

2455792.907926           18.555214       0.098385

2455793.032017           18.485047       0.096267

2455793.156108           18.414246       0.094164

2455793.280200           18.342817       0.092076

2455793.404291           18.270764       0.090004

2455793.528382           18.198092       0.087947

2455793.652474           18.124807       0.085906

2455793.776565           18.050915       0.083882

2455793.900656           17.976422       0.081875

2455794.024747           17.901333       0.079884

2455794.148839           17.825656       0.077911

2455794.272930           17.749397       0.075956

2455794.397021           17.672563       0.074018

2455794.521113           17.595162       0.072098

2455794.645204           17.517201       0.070196

2455794.769295           17.438689       0.068313

2455794.893386           17.359632       0.066449

2455795.017478           17.280041       0.064604

2455795.141569           17.199924       0.062778

2455795.265660           17.119289       0.060971

2455795.389752           17.038147       0.059184

2455795.513843           16.956508       0.057416

2455795.637934           16.874381       0.055669

2455795.762026           16.791778       0.053941

2455795.886117           16.708708       0.052234

2455796.010208           16.625184       0.050548

2455796.134299           16.541217       0.048881

2455796.258391           16.456819       0.047236

2455796.382482           16.372002       0.045611

2455796.506573           16.286780       0.044007

2455796.630665           16.201165       0.042424

2455796.754756           16.115171       0.040862

2455796.878847           16.028812       0.039321

2455797.002938           15.942102       0.037801

2455797.127030           15.855057       0.036302

2455797.251121           15.767691       0.034825

2455797.375212           15.680020       0.033369

2455797.499304           15.592061       0.031935

2455797.623395           15.503830       0.030522

2455797.747486           15.415344       0.029131

2455797.871577           15.326621       0.027763

2455797.995669           15.237678       0.026417

2455798.119760           15.148535       0.025094

2455798.243851           15.059210       0.023795

2455798.367943           14.969723       0.022520

2455798.492034           14.880095       0.021270

2455798.616125           14.790345       0.020048

2455798.740217           14.700495       0.018853

2455798.864308           14.610566       0.017690

2455798.988399           14.520581       0.016562

2455799.112490           14.430562       0.015471

2455799.236582           14.340530       0.014424

2455799.360673           14.250510       0.013427

2455799.484764           14.160524       0.012490

2455799.608856           14.070594       0.011624

2455799.732947           13.980743       0.010844

2455799.857038           13.890995       0.010166

2455799.981129           13.801372       0.009610

2455800.105221           13.711896       0.009198

2455800.229312           13.622590       0.008949

2455800.353403           13.533475       0.008875

2455800.477495           13.444573       0.008982

2455800.601586           13.355905       0.009264

2455800.725677           13.267492       0.009707

2455800.849768           13.179353       0.010293

2455800.973860           13.091510       0.011000

2455801.097951           13.003980       0.011810

2455801.222042           12.916783       0.012705

2455801.346134           12.829936       0.013672

2455801.470225           12.743458       0.014698

2455801.594316           12.657365       0.015776

2455801.718408           12.571675       0.016898

2455801.842499           12.486403       0.018058

2455801.966590           12.401565       0.019253

2455802.090681           12.317176       0.020479

2455802.214773           12.233252       0.021733

2455802.338864           12.149806       0.023014

2455802.462955           12.066852       0.024320

2455802.587047           11.984405       0.025650

2455802.711138           11.902476       0.027001

2455802.835229           11.821080       0.028374

2455802.959320           11.740227       0.029768

2455803.083412           11.659931       0.031182

2455803.207503           11.580202       0.032616

2455803.331594           11.501051       0.034069

2455803.455686           11.422490       0.035540

2455803.579777           11.344528       0.037030

2455803.703868           11.267176       0.038537

2455803.827959           11.190443       0.040062

2455803.952051           11.114339       0.041604

2455804.076142           11.038873       0.043163

2455804.200233           10.964052       0.044739

2455804.324325           10.889886       0.046331

2455804.448416           10.816383       0.047939

2455804.572507           10.743549       0.049563

2455804.696598           10.671393       0.051202

2455804.820690           10.599922       0.052855

2455804.944781           10.529142       0.054524

2455805.068872           10.459059       0.056207

2455805.192964           10.389680       0.057904

2455805.317055           10.321012       0.059614

2455805.441146           10.253058       0.061338

2455805.565238           10.185825       0.063075

2455805.689329           10.119318       0.064824

2455805.813420           10.053542       0.066586

2455805.937511            9.988501       0.068359

2455806.061603            9.924199       0.070144

2455806.185694            9.860641       0.071940

2455806.309785            9.797830       0.073747

2455806.433877            9.735771       0.075564

2455806.557968            9.674466       0.077391

2455806.682059            9.613918       0.079228

2455806.806150            9.554131       0.081073

2455806.930242            9.495107       0.082928

2455807.054333            9.436849       0.084791

2455807.178424            9.379358       0.086661

2455807.302516            9.322638       0.088540

2455807.426607            9.266690       0.090425

2455807.550698            9.211515       0.092318

2455807.674789            9.157116       0.094216

2455807.798881            9.103493       0.096121

2455807.922972            9.050648       0.098031

2455808.047063            8.998581       0.099946

2455808.171155            8.947294       0.101866

2455808.295246            8.896787       0.103790

2455808.419337            8.847060       0.105718

2455808.543429            8.798115       0.107650

2455808.667520            8.749950       0.109584

2455808.791611            8.702566       0.111522

2455808.915702            8.655963       0.113461

2455809.039794            8.610140       0.115403

2455809.163885            8.565097       0.117346

2455809.287976            8.520834       0.119290

2455809.412068            8.477349       0.121235

2455809.536159            8.434642       0.123180

2455809.660250            8.392712       0.125124

2455809.784341            8.351557       0.127069

2455809.908433            8.311177       0.129012

2455810.032524            8.271569       0.130955

2455810.156615            8.232733       0.132895

2455810.280707            8.194667       0.134834

2455810.404798            8.157369       0.136770

2455810.528889            8.120837       0.138703

2455810.652980            8.085069       0.140633

2455810.777072            8.050063       0.142560

2455810.901163            8.015817       0.144483

2455811.025254            7.982329       0.146401

2455811.149346            7.949597       0.148315

2455811.273437            7.917617       0.150224

2455811.397528            7.886387       0.152128

2455811.521620            7.855906       0.154026

2455811.645711            7.826169       0.155918

2455811.769802            7.797174       0.157804

2455811.893893            7.768918       0.159682

2455812.017985            7.741398       0.161554

2455812.142076            7.714612       0.163419

2455812.266167            7.688555       0.165276

2455812.390259            7.663225       0.167124

2455812.514350            7.638619       0.168965

2455812.638441            7.614732       0.170797

2455812.762532            7.591562       0.172619

2455812.886624            7.569105       0.174433

2455813.010715            7.547358       0.176237

2455813.134806            7.526316       0.178031

2455813.258898            7.505977       0.179815

2455813.382989            7.486336       0.181588

2455813.507080            7.467389       0.183350

2455813.631171            7.449133       0.185102

2455813.755263            7.431564       0.186842

2455813.879354            7.414678       0.188570

2455814.003445            7.398470       0.190286

2455814.127537            7.382937       0.191991

2455814.251628            7.368075       0.193682

2455814.375719            7.353879       0.195361

2455814.499811            7.340345       0.197027

2455814.623902            7.327468       0.198680

2455814.747993            7.315246       0.200319

2455814.872084            7.303672       0.201944

2455814.996176            7.292743       0.203556

2455815.120267            7.282455       0.205153

2455815.244358            7.272802       0.206735

2455815.368450            7.263781       0.208303

2455815.492541            7.255386       0.209856

2455815.616632            7.247614       0.211393

2455815.740723            7.240460       0.212915

2455815.864815            7.233918       0.214422

2455815.988906            7.227985       0.215912

2455816.112997            7.222656       0.217386

2455816.237089            7.217925       0.218844

2455816.361180            7.213789       0.220285

2455816.485271            7.210242       0.221710

2455816.609362            7.207280       0.223118

2455816.733454            7.204898       0.224508

2455816.857545            7.203091       0.225881

2455816.981636            7.201854       0.227237

2455817.105728            7.201182       0.228575

2455817.229819            7.201071       0.229894

2455817.353910            7.201515       0.231196

2455817.478002            7.202510       0.232480

2455817.602093            7.204051       0.233744

2455817.726184            7.206132       0.234991

2455817.850275            7.208749       0.236218

2455817.974367            7.211897       0.237427

2455818.098458            7.215571       0.238616

2455818.222549            7.219765       0.239786

2455818.346641            7.224476       0.240936

2455818.470732            7.229697       0.242067

2455818.594823            7.235423       0.243178

2455818.718914            7.241651       0.244270

2455818.843006            7.248374       0.245341

2455818.967097            7.255587       0.246392

2455819.091188            7.263287       0.247422

2455819.215280            7.271466       0.248432

2455819.339371            7.280121       0.249422

2455819.463462            7.289247       0.250391

2455819.587553            7.298837       0.251338

2455819.711645            7.308888       0.252265

2455819.835736            7.319394       0.253171

2455819.959827            7.330350       0.254056

2455820.083919            7.341751       0.254919

2455820.208010            7.353591       0.255761

2455820.332101            7.365867       0.256581

2455820.456192            7.378572       0.257379

2455820.580284            7.391702       0.258156

2455820.704375            7.405251       0.258911

2455820.828466            7.419215       0.259644

2455820.952558            7.433588       0.260355

2455821.076649            7.448365       0.261044

2455821.200740            7.463542       0.261711

2455821.324832            7.479112       0.262355

2455821.448923            7.495072       0.262977

2455821.573014            7.511416       0.263577

2455821.697105            7.528139       0.264154

2455821.821197            7.545235       0.264709

2455821.945288            7.562701       0.265240

2455822.069379            7.580531       0.265749

2455822.193471            7.598719       0.266236

2455822.317562            7.617261       0.266699

2455822.441653            7.636152       0.267140

2455822.565744            7.655387       0.267558

2455822.689836            7.674961       0.267952

2455822.813927            7.694869       0.268324

2455822.938018            7.715105       0.268672

2455823.062110            7.735665       0.268998

2455823.186201            7.756544       0.269300

2455823.310292            7.777738       0.269579

2455823.434383            7.799240       0.269835

2455823.558475            7.821046       0.270067

2455823.682566            7.843152       0.270277

2455823.806657            7.865551       0.270463

2455823.930749            7.888240       0.270625

2455824.054840            7.911214       0.270764

2455824.178931            7.934467       0.270880

2455824.303023            7.957995       0.270973

2455824.427114            7.981793       0.271042

2455824.551205            8.005856       0.271087

2455824.675296            8.030180       0.271110

2455824.799388            8.054758       0.271109

2455824.923479            8.079588       0.271084

2455825.047570            8.104663       0.271036

2455825.171662            8.129979       0.270965

2455825.295753            8.155531       0.270870

2455825.419844            8.181315       0.270752

2455825.543935            8.207326       0.270611

2455825.668027            8.233559       0.270446

2455825.792118            8.260010       0.270258

2455825.916209            8.286673       0.270047

2455826.040301            8.313544       0.269812

2455826.164392            8.340618       0.269554

2455826.288483            8.367891       0.269273

2455826.412574            8.395358       0.268969

2455826.536666            8.423015       0.268642

2455826.660757            8.450856       0.268291

2455826.784848            8.478878       0.267918

2455826.908940            8.507075       0.267522

2455827.033031            8.535443       0.267102

2455827.157122            8.563978       0.266660

2455827.281214            8.592675       0.266195

2455827.405305            8.621530       0.265707

2455827.529396            8.650537       0.265196

2455827.653487            8.679694       0.264663

2455827.777579            8.708994       0.264108

2455827.901670            8.738434       0.263529

2455828.025761            8.768008       0.262929

2455828.149853            8.797714       0.262305

2455828.273944            8.827546       0.261660

2455828.398035            8.857501       0.260993

2455828.522126            8.887572       0.260303

2455828.646218            8.917757       0.259591

2455828.770309            8.948051       0.258858

2455828.894400            8.978450       0.258102

2455829.018492            9.008949       0.257325

2455829.142583            9.039544       0.256526

2455829.266674            9.070231       0.255706

2455829.390765            9.101005       0.254864

2455829.514857            9.131862       0.254001

2455829.638948            9.162799       0.253116

2455829.763039            9.193811       0.252211

2455829.887131            9.224893       0.251284

2455830.011222            9.256042       0.250337

2455830.135313            9.287253       0.249369

2455830.259405            9.318522       0.248380

2455830.383496            9.349846       0.247371

2455830.507587            9.381220       0.246342

2455830.631678            9.412640       0.245292

2455830.755770            9.444101       0.244222

2455830.879861            9.475601       0.243133

2455831.003952            9.507135       0.242023

2455831.128044            9.538698       0.240894

2455831.252135            9.570288       0.239746

2455831.376226            9.601899       0.238578

2455831.500317            9.633528       0.237391

2455831.624409            9.665172       0.236185

2455831.748500            9.696826       0.234960

2455831.872591            9.728486       0.233717

2455831.996683            9.760149       0.232455

