This file contains the LC params of 2007af in filter-V

#-----------------------------#

#-----------------------------#
Jd at maximum in V band is: 2454176.911376 +/- 0.626130
Magnitude at maximum in V band is: 13.208741 +/- 0.014915
#-----------------------------#
#-----------------------------#
JD after 15-days from V band maximum is: 2454191.911376
Magnitude after 15-days from V band maximum is: 13.877358 +/- 0.014090
Estimated value of dm15 is: 0.668617 +/- 0.020518
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2454154.325500           16.794370       0.217249

2454154.481265           16.764986       0.212343

2454154.637029           16.735254       0.207465

2454154.792794           16.705175       0.202618

2454154.948559           16.674752       0.197802

2454155.104323           16.643988       0.193019

2454155.260088           16.612886       0.188270

2454155.415853           16.581448       0.183556

2454155.571617           16.549679       0.178878

2454155.727382           16.517580       0.174238

2454155.883147           16.485157       0.169638

2454156.038911           16.452412       0.165077

2454156.194676           16.419350       0.160559

2454156.350441           16.385975       0.156083

2454156.506205           16.352292       0.151652

2454156.661970           16.318305       0.147267

2454156.817735           16.284020       0.142929

2454156.973499           16.249441       0.138640

2454157.129264           16.214574       0.134401

2454157.285029           16.179425       0.130214

2454157.440793           16.144000       0.126080

2454157.596558           16.108304       0.122000

2454157.752323           16.072345       0.117977

2454157.908087           16.036130       0.114011

2454158.063852           15.999665       0.110105

2454158.219617           15.962958       0.106260

2454158.375381           15.926016       0.102477

2454158.531146           15.888848       0.098758

2454158.686911           15.851462       0.095105

2454158.842675           15.813867       0.091520

2454158.998440           15.776071       0.088004

2454159.154205           15.738084       0.084559

2454159.309969           15.699916       0.081187

2454159.465734           15.661577       0.077890

2454159.621499           15.623077       0.074669

2454159.777263           15.584426       0.071528

2454159.933028           15.545637       0.068466

2454160.088793           15.506721       0.065488

2454160.244557           15.467689       0.062594

2454160.400322           15.428554       0.059787

2454160.556087           15.389329       0.057070

2454160.711851           15.350026       0.054444

2454160.867616           15.310661       0.051912

2454161.023381           15.271246       0.049476

2454161.179145           15.231797       0.047138

2454161.334910           15.192328       0.044901

2454161.490675           15.152855       0.042768

2454161.646439           15.113394       0.040741

2454161.802204           15.073961       0.038821

2454161.957969           15.034574       0.037011

2454162.113733           14.995249       0.035313

2454162.269498           14.956006       0.033728

2454162.425263           14.916862       0.032258

2454162.581027           14.877836       0.030902

2454162.736792           14.838950       0.029661

2454162.892557           14.800221       0.028533

2454163.048321           14.761672       0.027517

2454163.204086           14.723323       0.026610

2454163.359851           14.685194       0.025808

2454163.515615           14.647308       0.025107

2454163.671380           14.609684       0.024502

2454163.827145           14.572345       0.023986

2454163.982909           14.535312       0.023552

2454164.138674           14.498604       0.023194

2454164.294439           14.462244       0.022904

2454164.450203           14.426250       0.022673

2454164.605968           14.390644       0.022494

2454164.761733           14.355445       0.022361

2454164.917497           14.320671       0.022264

2454165.073262           14.286341       0.022199

2454165.229027           14.252471       0.022158

2454165.384791           14.219080       0.022135

2454165.540556           14.186182       0.022125

2454165.696321           14.153793       0.022123

2454165.852085           14.121926       0.022124

2454166.007850           14.090594       0.022124

2454166.163615           14.059808       0.022120

2454166.319379           14.029580       0.022107

2454166.475144           13.999920       0.022083

2454166.630909           13.970835       0.022045

2454166.786673           13.942335       0.021991

2454166.942438           13.914425       0.021918

2454167.098203           13.887113       0.021825

2454167.253967           13.860403       0.021711

2454167.409732           13.834299       0.021575

2454167.565496           13.808806       0.021415

2454167.721261           13.783927       0.021232

