This file contains the LC params of 2007sr in filter-V

#-----------------------------#

#-----------------------------#
Jd at maximum in V band is: 2454545.370215 +/- 46.604215
Magnitude at maximum in V band is: 15.727686 +/- 0.705968
#-----------------------------#
#-----------------------------#
JD after 15-days from V band maximum is: 2454560.370215
Magnitude after 15-days from V band maximum is: 15.914744 +/- 0.863693
Estimated value of dm15 is: 0.187057 +/- 1.115507
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2454447.334400           12.616230       0.224478

2454447.532053           12.617224       0.217890

2454447.729706           12.618346       0.211353

2454447.927359           12.619597       0.204869

2454448.125011           12.620978       0.198442

2454448.322664           12.622492       0.192073

2454448.520317           12.624141       0.185766

2454448.717970           12.625926       0.179523

2454448.915623           12.627849       0.173347

2454449.113276           12.629913       0.167242

2454449.310929           12.632118       0.161209

2454449.508581           12.634467       0.155252

2454449.706234           12.636962       0.149373

2454449.903887           12.639604       0.143576

2454450.101540           12.642396       0.137864

2454450.299193           12.645338       0.132239

2454450.496846           12.648434       0.126706

2454450.694498           12.651684       0.121266

2454450.892151           12.655091       0.115923

2454451.089804           12.658656       0.110680

2454451.287457           12.662380       0.105541

2454451.485110           12.666267       0.100509

2454451.682763           12.670317       0.095587

2454451.880416           12.674532       0.090778

2454452.078068           12.678914       0.086087

2454452.275721           12.683465       0.081516

2454452.473374           12.688185       0.077068

2454452.671027           12.693078       0.072749

2454452.868680           12.698144       0.068561

2454453.066333           12.703384       0.064509

2454453.263986           12.708802       0.060596

2454453.461638           12.714397       0.056826

2454453.659291           12.720171       0.053204

2454453.856944           12.726127       0.049735

2454454.054597           12.732265       0.046421

2454454.252250           12.738587       0.043270

2454454.449903           12.745093       0.040285

2454454.647556           12.751786       0.037471

2454454.845208           12.758667       0.034834

2454455.042861           12.765736       0.032379

2454455.240514           12.772995       0.030110

2454455.438167           12.780445       0.028032

2454455.635820           12.788087       0.026148

2454455.833473           12.795922       0.024461

2454456.031126           12.803950       0.022971

2454456.228778           12.812174       0.021676

2454456.426431           12.820592       0.020570

2454456.624084           12.829205       0.019646

2454456.821737           12.838013       0.018892

2454457.019390           12.847015       0.018294

2454457.217043           12.856211       0.017833

2454457.414695           12.865600       0.017493

2454457.612348           12.875181       0.017252

2454457.810001           12.884951       0.017093

2454458.007654           12.894911       0.016999

2454458.205307           12.905056       0.016955

2454458.402960           12.915385       0.016948

2454458.600613           12.925896       0.016967

2454458.798265           12.936583       0.017006

2454458.995918           12.947445       0.017060

2454459.193571           12.958475       0.017125

2454459.391224           12.969669       0.017199

2454459.588877           12.981022       0.017284

2454459.786530           12.992526       0.017381

2454459.984183           13.004174       0.017493

2454460.181835           13.015960       0.017621

2454460.379488           13.027873       0.017770

2454460.577141           13.039906       0.017942

2454460.774794           13.052048       0.018141

2454460.972447           13.064289       0.018370

2454461.170100           13.076620       0.018630

2454461.367753           13.089029       0.018923

2454461.565405           13.101504       0.019249

2454461.763058           13.114034       0.019607

2454461.960711           13.126607       0.019997

2454462.158364           13.139211       0.020415

2454462.356017           13.151834       0.020860

2454462.553670           13.164464       0.021327

2454462.751323           13.177089       0.021813

2454462.948975           13.189698       0.022313

2454463.146628           13.202280       0.022823

2454463.344281           13.214823       0.023337

2454463.541934           13.227318       0.023853

2454463.739587           13.239753       0.024364

2454463.937240           13.252121       0.024866

2454464.134892           13.264412       0.025354

2454464.332545           13.276619       0.025824

2454464.530198           13.288733       0.026271

2454464.727851           13.300748       0.026691

2454464.925504           13.312659       0.027081

2454465.123157           13.324459       0.027436

2454465.320810           13.336144       0.027753

2454465.518462           13.347709       0.028031

2454465.716115           13.359152       0.028266

2454465.913768           13.370468       0.028458

2454466.111421           13.381656       0.028604

2454466.309074           13.392714       0.028705

2454466.506727           13.403641       0.028759

2454466.704380           13.414435       0.028769

2454466.902032           13.425098       0.028734

2454467.099685           13.435629       0.028657

2454467.297338           13.446030       0.028540

2454467.494991           13.456302       0.028384

2454467.692644           13.466447       0.028195

2454467.890297           13.476469       0.027975

2454468.087950           13.486371       0.027729

2454468.285602           13.496157       0.027461

2454468.483255           13.505831       0.027177

2454468.680908           13.515398       0.026882

2454468.878561           13.524865       0.026582

2454469.076214           13.534237       0.026282

