This file contains the LC params of 2008ec in filter-V

#-----------------------------#

#-----------------------------#
Jd at maximum in V band is: 2454676.603887 +/- 0.623554
Magnitude at maximum in V band is: 15.607648 +/- 0.033457
#-----------------------------#
#-----------------------------#
JD after 15-days from V band maximum is: 2454691.603887
Magnitude after 15-days from V band maximum is: 16.404303 +/- 0.060694
Estimated value of dm15 is: 0.796654 +/- 0.069305
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2454655.195300           17.780471       0.259479

2454655.286790           17.772340       0.257035

2454655.378279           17.764136       0.254594

2454655.469769           17.755859       0.252156

2454655.561259           17.747508       0.249723

2454655.652748           17.739084       0.247293

2454655.744238           17.730588       0.244867

2454655.835728           17.722018       0.242445

2454655.927218           17.713375       0.240028

2454656.018707           17.704660       0.237615

2454656.110197           17.695872       0.235207

2454656.201687           17.687011       0.232804

2454656.293176           17.678078       0.230406

2454656.384666           17.669072       0.228013

2454656.476156           17.659995       0.225626

2454656.567645           17.650845       0.223244

2454656.659135           17.641624       0.220868

2454656.750625           17.632331       0.218499

2454656.842114           17.622967       0.216135

2454656.933604           17.613531       0.213777

2454657.025094           17.604024       0.211427

2454657.116583           17.594447       0.209083

2454657.208073           17.584799       0.206746

2454657.299563           17.575081       0.204416

2454657.391053           17.565293       0.202093

2454657.482542           17.555435       0.199778

2454657.574032           17.545508       0.197471

2454657.665522           17.535512       0.195172

2454657.757011           17.525446       0.192881

2454657.848501           17.515313       0.190599

2454657.939991           17.505111       0.188325

2454658.031480           17.494841       0.186060

2454658.122970           17.484504       0.183804

2454658.214460           17.474100       0.181557

2454658.305949           17.463629       0.179320

2454658.397439           17.453092       0.177093

2454658.488929           17.442489       0.174875

2454658.580419           17.431821       0.172668

2454658.671908           17.421088       0.170471

2454658.763398           17.410290       0.168285

2454658.854888           17.399429       0.166110

2454658.946377           17.388504       0.163946

2454659.037867           17.377516       0.161793

2454659.129357           17.366466       0.159652

2454659.220846           17.355353       0.157523

2454659.312336           17.344180       0.155406

2454659.403826           17.332946       0.153301

2454659.495315           17.321651       0.151209

2454659.586805           17.310297       0.149130

2454659.678295           17.298885       0.147064

2454659.769784           17.287414       0.145011

2454659.861274           17.275885       0.142972

2454659.952764           17.264300       0.140947

2454660.044254           17.252658       0.138936

2454660.135743           17.240961       0.136940

2454660.227233           17.229209       0.134958

2454660.318723           17.217404       0.132991

2454660.410212           17.205545       0.131040

2454660.501702           17.193634       0.129104

2454660.593192           17.181671       0.127184

2454660.684681           17.169658       0.125280

2454660.776171           17.157595       0.123392

2454660.867661           17.145483       0.121522

2454660.959150           17.133323       0.119668

2454661.050640           17.121115       0.117831

2454661.142130           17.108862       0.116012

2454661.233620           17.096563       0.114211

2454661.325109           17.084221       0.112428

2454661.416599           17.071835       0.110664

2454661.508089           17.059407       0.108918

2454661.599578           17.046938       0.107191

2454661.691068           17.034429       0.105484

2454661.782558           17.021881       0.103797

2454661.874047           17.009295       0.102129

2454661.965537           16.996673       0.100482

