This file contains the LC params of 2009an in filter-V

#-----------------------------#

#-----------------------------#
Jd at maximum in V band is: 2454900.254945 +/- 1.085089
Magnitude at maximum in V band is: 14.604053 +/- 0.042431
#-----------------------------#
#-----------------------------#
JD after 15-days from V band maximum is: 2454915.254945
Magnitude after 15-days from V band maximum is: 15.195582 +/- 0.050014
Estimated value of dm15 is: 0.591529 +/- 0.065588
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2454886.663700           14.860257       0.144642

2454886.692434           14.859647       0.144201

2454886.721168           14.859037       0.143761

2454886.749902           14.858425       0.143321

2454886.778637           14.857812       0.142880

2454886.807371           14.857199       0.142440

2454886.836105           14.856584       0.142001

2454886.864839           14.855969       0.141561

2454886.893573           14.855353       0.141121

2454886.922307           14.854735       0.140682

2454886.951041           14.854117       0.140243

2454886.979775           14.853498       0.139804

2454887.008510           14.852879       0.139365

2454887.037244           14.852258       0.138927

2454887.065978           14.851636       0.138488

2454887.094712           14.851014       0.138050

2454887.123446           14.850390       0.137612

2454887.152180           14.849766       0.137174

2454887.180914           14.849141       0.136736

2454887.209649           14.848515       0.136299

2454887.238383           14.847888       0.135861

2454887.267117           14.847261       0.135424

2454887.295851           14.846632       0.134987

2454887.324585           14.846003       0.134550

2454887.353319           14.845373       0.134114

2454887.382053           14.844742       0.133678

2454887.410787           14.844110       0.133242

2454887.439522           14.843477       0.132806

2454887.468256           14.842844       0.132370

2454887.496990           14.842209       0.131935

2454887.525724           14.841574       0.131500

2454887.554458           14.840938       0.131065

2454887.583192           14.840301       0.130630

2454887.611926           14.839664       0.130196

2454887.640661           14.839025       0.129762

2454887.669395           14.838386       0.129328

2454887.698129           14.837746       0.128894

2454887.726863           14.837105       0.128461

2454887.755597           14.836464       0.128028

2454887.784331           14.835821       0.127595

2454887.813065           14.835178       0.127162

2454887.841799           14.834534       0.126730

2454887.870534           14.833889       0.126298

2454887.899268           14.833244       0.125866

2454887.928002           14.832598       0.125435

2454887.956736           14.831951       0.125003

2454887.985470           14.831303       0.124572

2454888.014204           14.830654       0.124142

2454888.042938           14.830005       0.123712

2454888.071673           14.829355       0.123282

2454888.100407           14.828704       0.122852

2454888.129141           14.828053       0.122423

2454888.157875           14.827401       0.121994

2454888.186609           14.826748       0.121565

2454888.215343           14.826094       0.121136

2454888.244077           14.825440       0.120708

2454888.272812           14.824785       0.120281

2454888.301546           14.824129       0.119853

2454888.330280           14.823473       0.119426

2454888.359014           14.822815       0.119000

2454888.387748           14.822157       0.118573

2454888.416482           14.821499       0.118147

2454888.445216           14.820840       0.117722

2454888.473950           14.820180       0.117296

2454888.502685           14.819519       0.116871

2454888.531419           14.818858       0.116447

2454888.560153           14.818196       0.116023

2454888.588887           14.817533       0.115599

2454888.617621           14.816870       0.115175

2454888.646355           14.816206       0.114752

2454888.675089           14.815542       0.114330

2454888.703824           14.814877       0.113908

2454888.732558           14.814211       0.113486

2454888.761292           14.813545       0.113064

2454888.790026           14.812878       0.112643

2454888.818760           14.812210       0.112223

2454888.847494           14.811542       0.111803

2454888.876228           14.810873       0.111383

2454888.904962           14.810203       0.110964

2454888.933697           14.809533       0.110545

2454888.962431           14.808863       0.110126

2454888.991165           14.808191       0.109708

2454889.019899           14.807520       0.109291

2454889.048633           14.806847       0.108874

2454889.077367           14.806174       0.108457

2454889.106101           14.805501       0.108041

2454889.134836           14.804827       0.107625

2454889.163570           14.804152       0.107210

2454889.192304           14.803477       0.106795

2454889.221038           14.802801       0.106381

2454889.249772           14.802125       0.105967

2454889.278506           14.801448       0.105554

2454889.307240           14.800771       0.105141

2454889.335974           14.800093       0.104729

2454889.364709           14.799415       0.104317

2454889.393443           14.798736       0.103905

2454889.422177           14.798057       0.103495

2454889.450911           14.797377       0.103084

2454889.479645           14.796697       0.102675

2454889.508379           14.796016       0.102266

2454889.537113           14.795335       0.101857

2454889.565848           14.794653       0.101449

2454889.594582           14.793971       0.101041

2454889.623316           14.793289       0.100634

2454889.652050           14.792606       0.100228

2454889.680784           14.791922       0.099822

2454889.709518           14.791238       0.099417

2454889.738252           14.790554       0.099012

2454889.766986           14.789869       0.098608

2454889.795721           14.789184       0.098204

2454889.824455           14.788499       0.097801

2454889.853189           14.787813       0.097399

2454889.881923           14.787126       0.096997

2454889.910657           14.786440       0.096596

2454889.939391           14.785752       0.096195

2454889.968125           14.785065       0.095795

2454889.996860           14.784377       0.095396

2454890.025594           14.783689       0.094997

2454890.054328           14.783000       0.094599

2454890.083062           14.782311       0.094202

2454890.111796           14.781622       0.093805

2454890.140530           14.780933       0.093409

2454890.169264           14.780243       0.093014

2454890.197998           14.779553       0.092619

2454890.226733           14.778862       0.092225

2454890.255467           14.778171       0.091832

2454890.284201           14.777480       0.091439

2454890.312935           14.776789       0.091047

2454890.341669           14.776097       0.090656

2454890.370403           14.775405       0.090265

2454890.399137           14.774713       0.089875

2454890.427872           14.774020       0.089486

2454890.456606           14.773328       0.089098

2454890.485340           14.772635       0.088710

2454890.514074           14.771942       0.088323

2454890.542808           14.771248       0.087937

2454890.571542           14.770554       0.087551

2454890.600276           14.769861       0.087166

2454890.629011           14.769167       0.086783

2454890.657745           14.768472       0.086399

2454890.686479           14.767778       0.086017

2454890.715213           14.767083       0.085635

2454890.743947           14.766389       0.085255

