This file contains the LC params of 2011aa in filter-V

#-----------------------------#

#-----------------------------#
Jd at maximum in V band is: 2455615.771220 +/- 1.072488
Magnitude at maximum in V band is: 14.749058 +/- 0.027375
#-----------------------------#
#-----------------------------#
JD after 15-days from V band maximum is: 2455630.771220
Magnitude after 15-days from V band maximum is: 15.186193 +/- 0.046041
Estimated value of dm15 is: 0.437135 +/- 0.053564
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2455596.141800           15.217335       0.161887

2455596.203918           15.216105       0.160753

2455596.266037           15.214867       0.159620

2455596.328155           15.213622       0.158489

2455596.390274           15.212369       0.157360

2455596.452392           15.211108       0.156232

2455596.514511           15.209840       0.155105

2455596.576629           15.208564       0.153981

2455596.638747           15.207280       0.152858

2455596.700866           15.205989       0.151737

2455596.762984           15.204691       0.150618

2455596.825103           15.203385       0.149500

2455596.887221           15.202071       0.148384

2455596.949339           15.200750       0.147271

2455597.011458           15.199421       0.146159

2455597.073576           15.198084       0.145049

2455597.135695           15.196741       0.143942

2455597.197813           15.195389       0.142836

2455597.259932           15.194030       0.141733

2455597.322050           15.192664       0.140632

2455597.384168           15.191290       0.139533

2455597.446287           15.189908       0.138436

2455597.508405           15.188520       0.137341

2455597.570524           15.187123       0.136249

2455597.632642           15.185719       0.135160

2455597.694760           15.184308       0.134072

2455597.756879           15.182889       0.132988

2455597.818997           15.181463       0.131905

2455597.881116           15.180030       0.130826

2455597.943234           15.178589       0.129749

2455598.005353           15.177141       0.128674

2455598.067471           15.175685       0.127602

2455598.129589           15.174222       0.126533

2455598.191708           15.172752       0.125467

2455598.253826           15.171275       0.124404

2455598.315945           15.169790       0.123343

2455598.378063           15.168298       0.122286

2455598.440181           15.166798       0.121231

2455598.502300           15.165292       0.120180

2455598.564418           15.163778       0.119132

2455598.626537           15.162257       0.118086

2455598.688655           15.160729       0.117044

2455598.750774           15.159194       0.116005

2455598.812892           15.157651       0.114970

2455598.875010           15.156102       0.113938

2455598.937129           15.154545       0.112909

2455598.999247           15.152982       0.111883

2455599.061366           15.151411       0.110861

2455599.123484           15.149833       0.109843

2455599.185603           15.148249       0.108828

2455599.247721           15.146657       0.107817

2455599.309839           15.145059       0.106809

2455599.371958           15.143454       0.105806

2455599.434076           15.141841       0.104806

2455599.496195           15.140222       0.103810

