This file contains the LC params of 2012dn in filter-V

#-----------------------------#

#-----------------------------#
Jd at maximum in V band is: 2456137.352738 +/- 0.507190
Magnitude at maximum in V band is: 14.279683 +/- 0.029584
#-----------------------------#
#-----------------------------#
JD after 15-days from V band maximum is: 2456152.352738
Magnitude after 15-days from V band maximum is: 14.761977 +/- 0.059654
Estimated value of dm15 is: 0.482295 +/- 0.066587
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2456117.207700           14.903095       0.123497

2456117.241902           14.902264       0.123065

2456117.276104           14.901429       0.122634

2456117.310306           14.900591       0.122204

2456117.344508           14.899750       0.121773

2456117.378711           14.898906       0.121343

2456117.412913           14.898059       0.120913

2456117.447115           14.897208       0.120483

2456117.481317           14.896354       0.120053

2456117.515519           14.895498       0.119624

2456117.549721           14.894638       0.119195

2456117.583923           14.893775       0.118766

2456117.618125           14.892908       0.118338

2456117.652327           14.892039       0.117910

2456117.686529           14.891167       0.117482

2456117.720732           14.890291       0.117055

2456117.754934           14.889412       0.116627

2456117.789136           14.888530       0.116200

2456117.823338           14.887645       0.115774

2456117.857540           14.886757       0.115348

2456117.891742           14.885865       0.114922

2456117.925944           14.884971       0.114496

2456117.960146           14.884073       0.114071

2456117.994348           14.883172       0.113646

2456118.028550           14.882268       0.113221

2456118.062753           14.881361       0.112797

2456118.096955           14.880451       0.112373

2456118.131157           14.879538       0.111949

2456118.165359           14.878621       0.111526

2456118.199561           14.877702       0.111103

2456118.233763           14.876779       0.110680

2456118.267965           14.875853       0.110258

2456118.302167           14.874924       0.109837

2456118.336369           14.873992       0.109415

2456118.370571           14.873056       0.108994

2456118.404774           14.872118       0.108574

2456118.438976           14.871177       0.108153

2456118.473178           14.870232       0.107734

2456118.507380           14.869284       0.107314

2456118.541582           14.868333       0.106895

2456118.575784           14.867379       0.106477

2456118.609986           14.866422       0.106059

2456118.644188           14.865462       0.105641

2456118.678390           14.864499       0.105224

2456118.712592           14.863532       0.104807

2456118.746795           14.862563       0.104390

2456118.780997           14.861590       0.103975

2456118.815199           14.860614       0.103559

2456118.849401           14.859635       0.103144

2456118.883603           14.858653       0.102729

2456118.917805           14.857668       0.102315

2456118.952007           14.856680       0.101902

2456118.986209           14.855689       0.101489

2456119.020411           14.854695       0.101076

2456119.054614           14.853697       0.100664

2456119.088816           14.852697       0.100252

2456119.123018           14.851693       0.099841

2456119.157220           14.850687       0.099430

2456119.191422           14.849677       0.099020

2456119.225624           14.848664       0.098611

2456119.259826           14.847648       0.098202

2456119.294028           14.846629       0.097793

2456119.328230           14.845607       0.097385

2456119.362432           14.844582       0.096977

2456119.396635           14.843554       0.096571

2456119.430837           14.842523       0.096164

2456119.465039           14.841489       0.095758

2456119.499241           14.840452       0.095353

2456119.533443           14.839412       0.094948

2456119.567645           14.838368       0.094544

2456119.601847           14.837322       0.094141

2456119.636049           14.836273       0.093738

2456119.670251           14.835220       0.093335

2456119.704453           14.834165       0.092934

2456119.738656           14.833107       0.092532

2456119.772858           14.832045       0.092132

2456119.807060           14.830981       0.091732

2456119.841262           14.829914       0.091333

2456119.875464           14.828843       0.090934

2456119.909666           14.827770       0.090536

2456119.943868           14.826693       0.090139

2456119.978070           14.825614       0.089742

2456120.012272           14.824532       0.089346

2456120.046474           14.823447       0.088950

2456120.080677           14.822358       0.088556

2456120.114879           14.821267       0.088161

2456120.149081           14.820173       0.087768

2456120.183283           14.819076       0.087375

2456120.217485           14.817976       0.086983

2456120.251687           14.816873       0.086592

2456120.285889           14.815767       0.086201

2456120.320091           14.814658       0.085811

2456120.354293           14.813546       0.085422

2456120.388495           14.812431       0.085034

2456120.422698           14.811314       0.084646

2456120.456900           14.810193       0.084259

2456120.491102           14.809070       0.083872

2456120.525304           14.807943       0.083487

2456120.559506           14.806814       0.083102

2456120.593708           14.805682       0.082718

2456120.627910           14.804547       0.082335

2456120.662112           14.803409       0.081952

2456120.696314           14.802268       0.081571

2456120.730517           14.801125       0.081190

2456120.764719           14.799978       0.080809

2456120.798921           14.798829       0.080430

2456120.833123           14.797677       0.080052

2456120.867325           14.796522       0.079674

2456120.901527           14.795364       0.079297

2456120.935729           14.794203       0.078921

2456120.969931           14.793040       0.078546

2456121.004133           14.791874       0.078171

2456121.038335           14.790704       0.077798

2456121.072538           14.789533       0.077425

2456121.106740           14.788358       0.077053

2456121.140942           14.787181       0.076682

2456121.175144           14.786000       0.076312

2456121.209346           14.784818       0.075943

2456121.243548           14.783632       0.075575

2456121.277750           14.782443       0.075207

2456121.311952           14.781252       0.074841

2456121.346154           14.780058       0.074475

2456121.380356           14.778862       0.074111

2456121.414559           14.777663       0.073747

2456121.448761           14.776461       0.073384

2456121.482963           14.775256       0.073022

2456121.517165           14.774048       0.072661

2456121.551367           14.772838       0.072301

2456121.585569           14.771626       0.071942

2456121.619771           14.770410       0.071584

2456121.653973           14.769192       0.071227

2456121.688175           14.767971       0.070871

2456121.722377           14.766748       0.070516

2456121.756580           14.765522       0.070162

2456121.790782           14.764294       0.069809

2456121.824984           14.763062       0.069457

2456121.859186           14.761829       0.069106

2456121.893388           14.760592       0.068756

2456121.927590           14.759353       0.068407

2456121.961792           14.758112       0.068059

2456121.995994           14.756868       0.067712

2456122.030196           14.755621       0.067367

2456122.064398           14.754372       0.067022

2456122.098601           14.753120       0.066678

2456122.132803           14.751866       0.066336

2456122.167005           14.750610       0.065994

