This file contains the LC params of 2017erp in filter-V

#-----------------------------#

#-----------------------------#
Jd at maximum in V band is: 2457936.134678 +/- 0.954445
Magnitude at maximum in V band is: 13.447698 +/- 0.024061
#-----------------------------#
#-----------------------------#
JD after 15-days from V band maximum is: 2457951.134678
Magnitude after 15-days from V band maximum is: 13.999648 +/- 0.031618
Estimated value of dm15 is: 0.551950 +/- 0.039732
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2457910.745700           17.974776       0.228003

2457910.812338           17.964334       0.226212

2457910.878975           17.953806       0.224423

2457910.945613           17.943193       0.222639

2457911.012251           17.932495       0.220857

2457911.078889           17.921711       0.219079

2457911.145526           17.910842       0.217304

2457911.212164           17.899887       0.215532

2457911.278802           17.888847       0.213765

2457911.345440           17.877722       0.212001

2457911.412077           17.866511       0.210241

2457911.478715           17.855215       0.208484

2457911.545353           17.843833       0.206732

2457911.611991           17.832366       0.204983

2457911.678628           17.820814       0.203239

2457911.745266           17.809177       0.201499

2457911.811904           17.797455       0.199763

2457911.878542           17.785648       0.198031

2457911.945179           17.773755       0.196304

2457912.011817           17.761778       0.194582

2457912.078455           17.749716       0.192864

2457912.145092           17.737569       0.191150

2457912.211730           17.725338       0.189442

2457912.278368           17.713021       0.187738

2457912.345006           17.700621       0.186040

2457912.411643           17.688136       0.184346

2457912.478281           17.675567       0.182658

2457912.544919           17.662913       0.180974

2457912.611557           17.650176       0.179297

2457912.678194           17.637355       0.177624

2457912.744832           17.624450       0.175957

2457912.811470           17.611461       0.174296

2457912.878108           17.598389       0.172641

2457912.944745           17.585234       0.170991

2457913.011383           17.571995       0.169347

2457913.078021           17.558674       0.167709

2457913.144659           17.545270       0.166077

2457913.211296           17.531783       0.164452

2457913.277934           17.518214       0.162833

2457913.344572           17.504563       0.161220

2457913.411210           17.490830       0.159614

2457913.477847           17.477015       0.158014

2457913.544485           17.463119       0.156421

2457913.611123           17.449142       0.154835

2457913.677760           17.435083       0.153256

2457913.744398           17.420944       0.151683

2457913.811036           17.406724       0.150118

2457913.877674           17.392424       0.148561

2457913.944311           17.378044       0.147010

2457914.010949           17.363584       0.145467

2457914.077587           17.349045       0.143932

2457914.144225           17.334427       0.142404

2457914.210862           17.319730       0.140884

2457914.277500           17.304954       0.139372

2457914.344138           17.290101       0.137868

2457914.410776           17.275170       0.136372

2457914.477413           17.260161       0.134884

2457914.544051           17.245075       0.133404

2457914.610689           17.229912       0.131933

2457914.677327           17.214673       0.130471

2457914.743964           17.199358       0.129017

2457914.810602           17.183968       0.127573

2457914.877240           17.168502       0.126137

2457914.943877           17.152961       0.124710

2457915.010515           17.137347       0.123292

2457915.077153           17.121658       0.121883

2457915.143791           17.105896       0.120484

2457915.210428           17.090060       0.119095

2457915.277066           17.074152       0.117715

2457915.343704           17.058172       0.116345

2457915.410342           17.042121       0.114985

2457915.476979           17.025998       0.113634

2457915.543617           17.009805       0.112294

2457915.610255           16.993541       0.110964

2457915.676893           16.977208       0.109645

2457915.743530           16.960806       0.108336

2457915.810168           16.944335       0.107038

2457915.876806           16.927797       0.105750

2457915.943444           16.911191       0.104473

2457916.010081           16.894518       0.103207

2457916.076719           16.877779       0.101953

2457916.143357           16.860975       0.100709

2457916.209994           16.844105       0.099477

2457916.276632           16.827171       0.098257

2457916.343270           16.810174       0.097048

2457916.409908           16.793113       0.095851

2457916.476545           16.775990       0.094666

2457916.543183           16.758805       0.093492

2457916.609821           16.741559       0.092331

2457916.676459           16.724253       0.091182

2457916.743096           16.706887       0.090046

2457916.809734           16.689463       0.088921

2457916.876372           16.671980       0.087810

2457916.943010           16.654440       0.086711

2457917.009647           16.636843       0.085625

2457917.076285           16.619191       0.084552

2457917.142923           16.601483       0.083491

2457917.209561           16.583721       0.082444

2457917.276198           16.565906       0.081411

2457917.342836           16.548038       0.080390

2457917.409474           16.530119       0.079383

2457917.476112           16.512149       0.078390

2457917.542749           16.494129       0.077410

2457917.609387           16.476059       0.076443

2457917.676025           16.457942       0.075491

2457917.742662           16.439777       0.074553

2457917.809300           16.421566       0.073628

2457917.875938           16.403310       0.072718

2457917.942576           16.385009       0.071821

2457918.009213           16.366665       0.070939

2457918.075851           16.348279       0.070071

2457918.142489           16.329852       0.069217

2457918.209127           16.311384       0.068377

2457918.275764           16.292876       0.067552

2457918.342402           16.274331       0.066741

2457918.409040           16.255749       0.065945

2457918.475678           16.237130       0.065163

2457918.542315           16.218477       0.064395

2457918.608953           16.199790       0.063642

2457918.675591           16.181070       0.062903

2457918.742229           16.162319       0.062178

2457918.808866           16.143538       0.061468

