 JD uvw1 uvw1Err uvv uvvErr uvw1ex uvw1exErr uvvex uvvexErr uvw1-uvv uvw1-uvvErr Phase
0 2453526.000 16.307 0.086 14.321 0.052 15.756 0.086 14.065 0.052 1.691 0.101 -8.683
1 2453527.000 15.856 0.077 14.113 0.049 15.305 0.077 13.857 0.049 1.448 0.092 -7.689
2 2453528.000 15.547 0.073 13.984 0.048 14.996 0.074 13.728 0.048 1.268 0.088 -6.696
3 2453531.000 15.061 0.068 13.660 0.044 14.510 0.069 13.404 0.044 1.106 0.082 -3.715
4 2453532.000 15.058 0.068 13.621 0.044 14.507 0.069 13.365 0.044 1.142 0.082 -2.721
5 2453533.000 15.093 0.068 13.575 0.044 14.542 0.069 13.319 0.044 1.223 0.082 -1.728
6 2453538.000 15.338 0.071 13.552 0.044 14.787 0.072 13.296 0.044 1.491 0.084 3.240
7 2453548.000 16.593 0.085 14.032 0.048 16.042 0.085 13.776 0.048 2.266 0.098 13.176
8 2453551.000 16.882 0.100 14.170 0.050 16.331 0.100 13.914 0.050 2.417 0.112 16.157
9 2453564.000 18.134 0.166 14.890 0.065 17.583 0.166 14.634 0.065 2.949 0.179 29.073
