 JD uvw1 uvw1Err uvv uvvErr uvw1ex uvw1exErr uvvex uvvexErr uvw1-uvv uvw1-uvvErr Phase
0 2454497.000 16.030 0.069 15.100 0.059 15.556 0.069 14.879 0.059 0.677 0.091 -9.646
1 2454499.000 15.052 0.061 14.349 0.052 14.578 0.061 14.128 0.052 0.450 0.080 -7.662
2 2454501.000 14.755 0.055 14.007 0.048 14.281 0.055 13.786 0.048 0.495 0.073 -5.678
3 2454503.000 14.703 0.052 13.793 0.046 14.229 0.052 13.572 0.046 0.657 0.070 -3.694
4 2454505.000 14.750 0.059 13.710 0.047 14.276 0.059 13.489 0.047 0.787 0.076 -1.710
6 2454507.000 14.922 0.056 13.703 0.045 14.448 0.056 13.482 0.045 0.966 0.072 0.274
8 2454511.000 15.571 0.066 13.762 0.047 15.097 0.066 13.541 0.047 1.556 0.081 4.242
9 2454513.000 15.775 0.066 13.851 0.048 15.301 0.066 13.630 0.048 1.671 0.082 6.226
10 2454515.000 16.036 0.067 13.955 0.049 15.562 0.067 13.734 0.049 1.828 0.083 8.211
11 2454517.000 16.350 0.069 14.124 0.052 15.876 0.069 13.903 0.052 1.973 0.087 10.195
12 2454520.000 16.834 0.075 14.377 0.055 16.360 0.075 14.156 0.055 2.204 0.093 13.171
