 JD uvw1 uvw1Err uvv uvvErr uvw1ex uvw1exErr uvvex uvvexErr uvw1-uvv uvw1-uvvErr Phase
0 2454808.000 17.143 0.086 15.837 0.068 16.958 0.086 15.751 0.068 1.207 0.110 -9.115
1 2454810.000 16.459 0.075 15.568 0.065 16.274 0.075 15.482 0.065 0.792 0.099 -7.140
3 2454813.000 15.896 0.076 15.008 0.069 15.711 0.076 14.922 0.069 0.789 0.103 -4.177
4 2454814.000 15.946 0.070 14.913 0.059 15.761 0.070 14.827 0.059 0.934 0.092 -3.190
5 2454815.000 16.024 0.065 14.957 0.062 15.839 0.065 14.871 0.062 0.968 0.090 -2.202
6 2454819.000 16.217 0.072 14.878 0.061 16.032 0.072 14.792 0.061 1.240 0.095 1.748
7 2454820.000 16.263 0.073 14.895 0.062 16.078 0.073 14.809 0.062 1.269 0.096 2.736
8 2454822.000 16.512 0.072 14.959 0.060 16.327 0.072 14.873 0.060 1.454 0.094 4.711
9 2454824.000 16.718 0.078 14.970 0.061 16.533 0.078 14.884 0.061 1.649 0.099 6.686
10 2454826.000 16.897 0.081 15.095 0.063 16.712 0.081 15.009 0.063 1.703 0.103 8.662
11 2454828.000 17.243 0.088 15.332 0.066 17.058 0.088 15.246 0.066 1.812 0.110 10.637
12 2454830.000 17.606 0.098 15.557 0.068 17.421 0.098 15.471 0.068 1.950 0.119 12.612
13 2454838.000 18.396 0.116 15.951 0.068 18.211 0.116 15.865 0.068 2.346 0.135 20.513
14 2454842.000 18.963 0.158 16.254 0.074 18.778 0.158 16.168 0.074 2.610 0.175 24.463
15 2454846.000 19.091 0.171 16.650 0.085 18.906 0.171 16.564 0.085 2.342 0.191 28.414
16 2454854.000 19.445 0.205 16.976 0.094 19.260 0.205 16.890 0.094 2.370 0.226 36.315
17 2454805.000 19.505 0.345 16.859 0.120 19.320 0.345 16.773 0.120 2.547 0.365 -12.078
18 2454863.000 19.780 0.225 17.331 0.119 19.595 0.225 17.245 0.119 2.350 0.255 45.203
