 JD uvw1 uvw1Err uvv uvvErr uvw1ex uvw1exErr uvvex uvvexErr uvw1-uvv uvw1-uvvErr Phase
0 2455065.000 19.260 0.195 16.456 0.082 19.082 0.195 16.373 0.082 2.709 0.212 -13.739
1 2455067.000 18.383 0.130 15.753 0.068 18.205 0.130 15.670 0.068 2.535 0.147 -11.757
3 2455069.000 16.345 0.098 14.841 0.058 16.167 0.098 14.758 0.058 1.409 0.114 -9.775
4 2455071.000 15.600 0.066 14.271 0.051 15.422 0.066 14.188 0.051 1.234 0.084 -7.793
5 2455073.000 14.918 0.057 13.867 0.045 14.740 0.057 13.784 0.045 0.956 0.073 -5.811
6 2455075.000 14.698 0.054 13.674 0.044 14.520 0.054 13.591 0.044 0.929 0.070 -3.828
8 2455077.000 14.693 0.055 13.560 0.044 14.515 0.055 13.477 0.044 1.038 0.071 -1.846
10 2455079.000 14.769 0.056 13.430 0.043 14.591 0.056 13.347 0.043 1.244 0.071 0.136
11 2455081.000 14.831 0.056 13.422 0.043 14.653 0.056 13.339 0.043 1.314 0.071 2.118
13 2455084.000 15.183 0.064 13.456 0.044 15.005 0.064 13.373 0.044 1.632 0.078 5.091
14 2455087.000 15.420 0.064 13.508 0.043 15.242 0.064 13.425 0.043 1.817 0.077 8.065
16 2455090.000 15.727 0.067 13.609 0.044 15.549 0.067 13.526 0.044 2.023 0.080 11.038
17 2455099.000 16.836 0.080 14.104 0.048 16.658 0.080 14.021 0.048 2.637 0.093 19.958
18 2455106.000 17.612 0.096 14.388 0.052 17.434 0.096 14.305 0.052 3.129 0.109 26.895
19 2455108.000 17.656 0.102 14.475 0.054 17.478 0.102 14.392 0.054 3.086 0.116 28.877
20 2455114.000 17.960 0.107 14.838 0.058 17.782 0.107 14.755 0.058 3.027 0.122 34.824
21 2455117.000 18.374 0.130 15.104 0.060 18.196 0.130 15.021 0.060 3.175 0.143 37.797
