 JD uvw1 uvw1Err uvv uvvErr uvw1ex uvw1exErr uvvex uvvexErr uvw1-uvv uvw1-uvvErr Phase
0 2455679.000 16.124 0.071 14.500 0.053 16.045 0.071 14.463 0.053 1.582 0.089 -12.038
1 2455681.000 15.373 0.065 14.203 0.059 15.294 0.065 14.166 0.059 1.128 0.088 -10.044
2 2455682.000 14.978 0.063 13.823 0.046 14.899 0.063 13.786 0.046 1.113 0.078 -9.047
3 2455683.000 14.497 0.057 13.608 0.044 14.418 0.057 13.571 0.044 0.847 0.072 -8.050
5 2455685.000 14.114 0.048 13.296 0.043 14.035 0.048 13.259 0.043 0.776 0.064 -6.055
7 2455688.000 13.917 0.048 13.055 0.031 13.838 0.048 13.018 0.031 0.820 0.057 -3.064
9 2455690.000 13.978 0.049 12.968 0.030 13.899 0.049 12.931 0.030 0.968 0.057 -1.069
11 2455694.000 14.436 0.055 12.918 0.030 14.357 0.055 12.881 0.030 1.476 0.063 2.919
13 2455698.000 14.912 0.065 12.981 0.030 14.833 0.065 12.944 0.030 1.889 0.072 6.908
14 2455700.000 15.158 0.072 13.074 0.031 15.079 0.072 13.037 0.031 2.042 0.078 8.902
15 2455702.000 15.419 0.070 13.187 0.031 15.340 0.070 13.150 0.031 2.190 0.077 10.897
16 2455704.000 15.666 0.071 13.346 0.032 15.587 0.071 13.309 0.032 2.278 0.078 12.891
17 2455706.000 16.021 0.078 13.417 0.032 15.942 0.078 13.380 0.032 2.562 0.084 14.885
18 2455708.000 16.210 0.079 13.588 0.033 16.131 0.079 13.551 0.033 2.580 0.086 16.880
19 2455710.000 16.505 0.078 13.742 0.034 16.426 0.078 13.705 0.034 2.721 0.085 18.874
20 2455712.000 16.693 0.103 13.778 0.042 16.614 0.103 13.741 0.042 2.873 0.111 20.868
23 2455718.000 17.361 0.119 14.068 0.040 17.282 0.119 14.031 0.040 3.251 0.126 26.851
24 2455720.000 17.269 0.110 14.279 0.040 17.190 0.110 14.242 0.040 2.948 0.117 28.846
25 2455722.000 17.555 0.176 14.358 0.039 17.476 0.176 14.321 0.039 3.155 0.180 30.840
26 2455724.000 17.495 0.107 14.470 0.042 17.416 0.107 14.433 0.042 2.983 0.115 32.834
27 2455726.000 17.710 0.106 14.656 0.059 17.631 0.106 14.619 0.059 3.012 0.121 34.829
28 2455728.000 17.888 0.153 14.664 0.064 17.809 0.153 14.627 0.064 3.182 0.166 36.823
