 JD uvw1 uvw1Err uvv uvvErr uvw1ex uvw1exErr uvvex uvvexErr uvw1-uvv uvw1-uvvErr Phase
0 2455800.000 15.554 0.066 13.394 0.034 15.505 0.066 13.371 0.034 2.134 0.074 -14.468
1 2455801.000 14.582 0.061 12.586 0.031 14.533 0.061 12.563 0.031 1.970 0.068 -13.469
2 2455802.000 13.876 0.041 12.270 0.029 13.827 0.041 12.247 0.029 1.580 0.050 -12.470
3 2455803.000 13.717 0.036 12.058 0.029 13.668 0.036 12.035 0.029 1.633 0.046 -11.471
5 2455805.000 12.328 0.030 11.228 0.028 12.279 0.030 11.205 0.028 1.074 0.041 -9.472
6 2455806.000 11.855 0.029 11.003 0.028 11.806 0.029 10.980 0.028 0.826 0.040 -8.473
7 2455807.000 11.415 0.029 10.745 0.028 11.366 0.029 10.722 0.028 0.644 0.040 -7.474
8 2455808.000 11.245 0.028 10.605 0.028 11.196 0.028 10.582 0.028 0.614 0.040 -6.475
28 2455830.000 12.946 0.039 10.666 0.028 12.897 0.039 10.643 0.028 2.254 0.048 15.507
30 2455832.000 13.225 0.034 10.790 0.028 13.176 0.034 10.767 0.028 2.409 0.044 17.506
31 2455833.000 13.380 0.035 10.848 0.028 13.331 0.035 10.825 0.028 2.506 0.045 18.505
32 2455834.000 13.444 0.036 10.851 0.028 13.395 0.036 10.828 0.028 2.567 0.046 19.504
33 2455836.000 13.686 0.038 10.967 0.028 13.637 0.038 10.944 0.028 2.693 0.047 21.503
34 2455837.000 13.763 0.039 11.055 0.028 13.714 0.039 11.032 0.028 2.682 0.048 22.502
36 2455839.000 13.978 0.042 11.129 0.029 13.929 0.042 11.106 0.029 2.823 0.051 24.500
37 2455840.000 14.066 0.042 11.175 0.029 14.017 0.042 11.152 0.029 2.865 0.051 25.499
38 2455841.000 14.075 0.045 11.217 0.029 14.026 0.045 11.194 0.029 2.832 0.054 26.499
39 2455842.000 14.212 0.046 11.298 0.029 14.163 0.046 11.275 0.029 2.888 0.054 27.498
40 2455843.000 14.282 0.047 11.359 0.029 14.233 0.047 11.336 0.029 2.897 0.055 28.497
41 2455844.000 14.250 0.047 11.399 0.029 14.201 0.047 11.376 0.029 2.825 0.055 29.496
42 2455845.000 14.337 0.049 11.451 0.029 14.288 0.049 11.428 0.029 2.860 0.057 30.495
43 2455846.000 14.398 0.052 11.519 0.029 14.349 0.052 11.496 0.029 2.853 0.060 31.494
44 2455847.000 14.499 0.052 11.610 0.029 14.450 0.052 11.587 0.029 2.863 0.060 32.494
45 2455848.000 14.713 0.060 11.663 0.029 14.664 0.060 11.640 0.029 3.024 0.067 33.493
46 2455849.000 14.947 0.059 11.743 0.029 14.898 0.059 11.720 0.029 3.178 0.066 34.492
47 2455850.000 14.565 0.049 11.831 0.029 14.516 0.049 11.808 0.029 2.708 0.057 35.491
49 2455852.000 14.690 0.053 11.899 0.029 14.641 0.053 11.876 0.029 2.765 0.060 37.490
50 2455853.000 14.730 0.053 11.935 0.029 14.681 0.053 11.912 0.029 2.769 0.060 38.489
51 2455854.000 14.753 0.054 12.021 0.029 14.704 0.054 11.998 0.029 2.706 0.061 39.488
52 2455855.000 14.871 0.062 12.027 0.029 14.822 0.062 12.004 0.029 2.818 0.068 40.487
53 2455856.000 14.904 0.061 12.049 0.029 14.855 0.061 12.026 0.029 2.829 0.068 41.486
54 2455857.000 14.908 0.062 12.130 0.029 14.859 0.062 12.107 0.029 2.752 0.068 42.486
55 2455858.000 14.929 0.072 12.144 0.029 14.880 0.072 12.121 0.029 2.759 0.078 43.485
56 2455859.000 15.006 0.073 12.190 0.030 14.957 0.073 12.167 0.030 2.790 0.079 44.484
57 2455860.000 14.956 0.063 12.163 0.029 14.907 0.063 12.140 0.029 2.767 0.069 45.483
58 2455861.000 15.012 0.064 12.197 0.029 14.963 0.064 12.174 0.029 2.789 0.070 46.482
59 2455862.000 15.203 0.061 12.224 0.029 15.154 0.061 12.201 0.029 2.953 0.068 47.482
60 2455863.000 15.026 0.060 12.257 0.029 14.977 0.060 12.234 0.029 2.743 0.067 48.481
61 2455864.000 15.113 0.061 12.328 0.029 15.064 0.061 12.305 0.029 2.759 0.068 49.480
62 2455865.000 15.167 0.061 12.356 0.030 15.118 0.061 12.333 0.030 2.785 0.068 50.479
63 2455866.000 15.144 0.061 12.384 0.030 15.095 0.061 12.361 0.030 2.734 0.068 51.478
64 2455867.000 15.202 0.061 12.404 0.030 15.153 0.061 12.381 0.030 2.772 0.068 52.477
65 2455868.000 15.284 0.064 12.430 0.030 15.235 0.064 12.407 0.030 2.828 0.071 53.477
66 2455869.000 15.300 0.074 12.453 0.030 15.251 0.074 12.430 0.030 2.821 0.080 54.476
67 2455870.000 15.376 0.063 12.481 0.030 15.327 0.063 12.458 0.030 2.869 0.070 55.475
68 2455874.000 15.428 0.063 12.557 0.030 15.379 0.063 12.534 0.030 2.845 0.070 59.472
69 2455876.000 15.978 0.090 12.556 0.031 15.929 0.090 12.533 0.031 3.396 0.095 61.470
70 2455878.000 15.556 0.065 12.721 0.031 15.507 0.065 12.698 0.031 2.809 0.072 63.469
71 2455880.000 15.616 0.066 12.757 0.031 15.567 0.066 12.734 0.031 2.833 0.073 65.467
72 2455882.000 15.605 0.065 12.827 0.031 15.556 0.065 12.804 0.031 2.752 0.072 67.465
73 2455886.000 15.701 0.066 12.913 0.031 15.652 0.066 12.890 0.031 2.762 0.073 71.462
74 2455888.000 15.756 0.068 12.978 0.032 15.707 0.068 12.955 0.032 2.752 0.075 73.460
75 2455890.000 15.789 0.068 12.980 0.031 15.740 0.068 12.957 0.031 2.783 0.075 75.459
76 2455892.000 15.903 0.070 13.082 0.032 15.854 0.070 13.059 0.032 2.795 0.077 77.457
77 2455894.000 15.983 0.071 13.138 0.032 15.934 0.071 13.115 0.032 2.819 0.078 79.456
78 2455896.000 16.004 0.071 13.157 0.032 15.955 0.071 13.134 0.032 2.821 0.078 81.454
79 2455898.000 15.910 0.080 13.217 0.034 15.861 0.080 13.194 0.034 2.667 0.087 83.452
80 2455900.000 16.033 0.071 13.219 0.032 15.984 0.071 13.196 0.032 2.788 0.078 85.451
81 2455902.000 16.142 0.073 13.338 0.033 16.093 0.073 13.315 0.033 2.778 0.080 87.449
82 2455904.000 16.118 0.073 13.383 0.033 16.069 0.073 13.360 0.033 2.709 0.080 89.448
83 2455906.000 16.217 0.074 13.410 0.033 16.168 0.074 13.387 0.033 2.781 0.081 91.446
84 2455910.000 16.300 0.077 13.484 0.034 16.251 0.077 13.461 0.034 2.790 0.084 95.443
85 2455914.000 16.392 0.078 13.540 0.035 16.343 0.078 13.517 0.035 2.826 0.085 99.439
87 2455798.000 17.232 0.124 15.068 0.059 17.183 0.124 15.045 0.059 2.138 0.137 -16.467
