This file contains the LC params of SN2009dc in filter-B

#-----------------------------#

#-----------------------------#
Jd at maximum in B band is: 2454942.239257 +/- 0.698694
Magnitude at maximum in B band is: 15.263708 +/- 0.136699
#-----------------------------#
#-----------------------------#
JD after 15-days from B band maximum is: 2454957.239257
Magnitude after 15-days from B band maximum is: 15.681583 +/- 0.042000
Estimated value of dm15 is: 0.417876 +/- 0.143006
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2454939.070900           15.274434       0.229344

2454939.116818           15.274142       0.227925

2454939.162736           15.273853       0.226508

2454939.208655           15.273568       0.225092

2454939.254573           15.273287       0.223678

2454939.300491           15.273009       0.222266

2454939.346409           15.272735       0.220855

2454939.392328           15.272464       0.219446

2454939.438246           15.272198       0.218038

2454939.484164           15.271935       0.216633

2454939.530082           15.271675       0.215228

2454939.576000           15.271420       0.213826

2454939.621919           15.271168       0.212425

2454939.667837           15.270920       0.211027

2454939.713755           15.270676       0.209630

2454939.759673           15.270436       0.208235

2454939.805591           15.270199       0.206841

2454939.851510           15.269966       0.205450

2454939.897428           15.269738       0.204061

2454939.943346           15.269513       0.202674

2454939.989264           15.269292       0.201288

2454940.035183           15.269075       0.199905

2454940.081101           15.268862       0.198524

2454940.127019           15.268653       0.197145

2454940.172937           15.268448       0.195768

2454940.218855           15.268247       0.194394

2454940.264774           15.268050       0.193022

2454940.310692           15.267857       0.191652

2454940.356610           15.267668       0.190284

2454940.402528           15.267483       0.188919

2454940.448447           15.267303       0.187556

2454940.494365           15.267126       0.186195

2454940.540283           15.266954       0.184837

2454940.586201           15.266786       0.183482

2454940.632119           15.266622       0.182129

2454940.678038           15.266463       0.180779

2454940.723956           15.266307       0.179431

2454940.769874           15.266156       0.178086

2454940.815792           15.266009       0.176743

2454940.861711           15.265867       0.175404

2454940.907629           15.265729       0.174067

2454940.953547           15.265595       0.172733

2454940.999465           15.265466       0.171401

2454941.045383           15.265341       0.170073

2454941.091302           15.265220       0.168748

2454941.137220           15.265104       0.167425

2454941.183138           15.264992       0.166106

2454941.229056           15.264885       0.164789

2454941.274974           15.264782       0.163476

2454941.320893           15.264684       0.162166

2454941.366811           15.264591       0.160859

2454941.412729           15.264502       0.159556

2454941.458647           15.264417       0.158255

2454941.504566           15.264338       0.156958

2454941.550484           15.264263       0.155665

2454941.596402           15.264192       0.154375

2454941.642320           15.264126       0.153088

2454941.688238           15.264065       0.151805

2454941.734157           15.264009       0.150525

2454941.780075           15.263957       0.149249

2454941.825993           15.263910       0.147977

2454941.871911           15.263868       0.146708

2454941.917830           15.263831       0.145443

2454941.963748           15.263799       0.144182

2454942.009666           15.263771       0.142925

2454942.055584           15.263749       0.141672

2454942.101502           15.263731       0.140423

2454942.147421           15.263718       0.139178

2454942.193339           15.263711       0.137936

2454942.239257           15.263708       0.136699

2454942.285175           15.263710       0.135467

2454942.331093           15.263717       0.134238

2454942.377012           15.263730       0.133014

2454942.422930           15.263747       0.131794

2454942.468848           15.263769       0.130579

2454942.514766           15.263797       0.129368

2454942.560685           15.263830       0.128161

2454942.606603           15.263867       0.126960

2454942.652521           15.263910       0.125763

2454942.698439           15.263959       0.124570

2454942.744357           15.264012       0.123383

2454942.790276           15.264071       0.122200

2454942.836194           15.264135       0.121022

2454942.882112           15.264204       0.119850

2454942.928030           15.264279       0.118682

2454942.973949           15.264359       0.117519

2454943.019867           15.264445       0.116362

2454943.065785           15.264535       0.115210

2454943.111703           15.264632       0.114064

2454943.157621           15.264733       0.112922

2454943.203540           15.264841       0.111787

2454943.249458           15.264953       0.110656

2454943.295376           15.265071       0.109532

2454943.341294           15.265195       0.108413

2454943.387213           15.265325       0.107300

2454943.433131           15.265459       0.106193

2454943.479049           15.265600       0.105092

2454943.524967           15.265746       0.103997

2454943.570885           15.265898       0.102909

2454943.616804           15.266056       0.101826

2454943.662722           15.266219       0.100750

2454943.708640           15.266388       0.099680

2454943.754558           15.266563       0.098617

2454943.800476           15.266744       0.097560

2454943.846395           15.266930       0.096510

2454943.892313           15.267122       0.095467

2454943.938231           15.267320       0.094431

2454943.984149           15.267524       0.093402

2454944.030068           15.267734       0.092380

2454944.075986           15.267950       0.091365

2454944.121904           15.268172       0.090358

2454944.167822           15.268400       0.089358

2454944.213740           15.268634       0.088365

2454944.259659           15.268874       0.087380

2454944.305577           15.269120       0.086403

2454944.351495           15.269372       0.085434

2454944.397413           15.269631       0.084473

2454944.443332           15.269895       0.083520

2454944.489250           15.270166       0.082575

2454944.535168           15.270443       0.081638

2454944.581086           15.270726       0.080711

2454944.627004           15.271015       0.079791

2454944.672923           15.271311       0.078881

2454944.718841           15.271613       0.077979

2454944.764759           15.271921       0.077087

2454944.810677           15.272235       0.076203

2454944.856595           15.272556       0.075329

2454944.902514           15.272884       0.074465

2454944.948432           15.273218       0.073610

2454944.994350           15.273558       0.072765

2454945.040268           15.273905       0.071929

2454945.086187           15.274258       0.071104

2454945.132105           15.274618       0.070289

2454945.178023           15.274985       0.069484

2454945.223941           15.275358       0.068690

2454945.269859           15.275738       0.067907

2454945.315778           15.276124       0.067134

2454945.361696           15.276517       0.066373

2454945.407614           15.276917       0.065622

2454945.453532           15.277323       0.064883

2454945.499451           15.277737       0.064155

2454945.545369           15.278157       0.063440

2454945.591287           15.278584       0.062735

2454945.637205           15.279017       0.062043

2454945.683123           15.279458       0.061363

2454945.729042           15.279906       0.060695

2454945.774960           15.280360       0.060040

2454945.820878           15.280821       0.059397

2454945.866796           15.281290       0.058767

2454945.912715           15.281765       0.058150

2454945.958633           15.282248       0.057546

2454946.004551           15.282737       0.056956

2454946.050469           15.283234       0.056378

2454946.096387           15.283738       0.055815

2454946.142306           15.284249       0.055264

2454946.188224           15.284767       0.054728

2454946.234142           15.285292       0.054206

2454946.280060           15.285825       0.053697

2454946.325978           15.286365       0.053203

2454946.371897           15.286912       0.052723

2454946.417815           15.287466       0.052257

2454946.463733           15.288028       0.051806

2454946.509651           15.288597       0.051369

2454946.555570           15.289174       0.050947

2454946.601488           15.289758       0.050539

2454946.647406           15.290349       0.050146

2454946.693324           15.290948       0.049768

2454946.739242           15.291555       0.049404

2454946.785161           15.292169       0.049056

2454946.831079           15.292791       0.048722

2454946.876997           15.293420       0.048402

2454946.922915           15.294057       0.048098

2454946.968834           15.294701       0.047808

2454947.014752           15.295354       0.047533

2454947.060670           15.296014       0.047272

2454947.106588           15.296681       0.047025

2454947.152506           15.297357       0.046793

2454947.198425           15.298040       0.046575

2454947.244343           15.298732       0.046372

2454947.290261           15.299431       0.046182

2454947.336179           15.300138       0.046006

2454947.382097           15.300853       0.045843

2454947.428016           15.301576       0.045694

2454947.473934           15.302306       0.045558

2454947.519852           15.303045       0.045435

2454947.565770           15.303792       0.045325

2454947.611689           15.304547       0.045227

2454947.657607           15.305311       0.045142

2454947.703525           15.306082       0.045068

2454947.749443           15.306861       0.045007

2454947.795361           15.307649       0.044956

2454947.841280           15.308445       0.044917

2454947.887198           15.309249       0.044889

2454947.933116           15.310062       0.044871

2454947.979034           15.310882       0.044864

2454948.024953           15.311712       0.044866

2454948.070871           15.312549       0.044878

2454948.116789           15.313395       0.044899

2454948.162707           15.314249       0.044929

2454948.208625           15.315112       0.044968

2454948.254544           15.315984       0.045015

2454948.300462           15.316864       0.045071

2454948.346380           15.317752       0.045133

2454948.392298           15.318649       0.045203

2454948.438217           15.319555       0.045280

