This file contains the LC params of SN2011aa in filter-B

#-----------------------------#

#-----------------------------#
Jd at maximum in B band is: 2455612.595028 +/- 0.369388
Magnitude at maximum in B band is: 14.800631 +/- 0.022970
#-----------------------------#
#-----------------------------#
JD after 15-days from B band maximum is: 2455627.595028
Magnitude after 15-days from B band maximum is: 15.497372 +/- 0.056559
Estimated value of dm15 is: 0.696742 +/- 0.061045
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2455596.132400           15.281147       0.191440

2455596.194523           15.279376       0.189878

2455596.256646           15.277597       0.188319

2455596.318769           15.275809       0.186763

2455596.380892           15.274012       0.185209

2455596.443016           15.272207       0.183659

2455596.505139           15.270394       0.182113

2455596.567262           15.268572       0.180569

2455596.629385           15.266742       0.179028

2455596.691508           15.264904       0.177491

2455596.753631           15.263057       0.175957

2455596.815754           15.261202       0.174427

2455596.877877           15.259339       0.172900

2455596.940001           15.257468       0.171376

2455597.002124           15.255588       0.169856

2455597.064247           15.253700       0.168340

2455597.126370           15.251804       0.166827

2455597.188493           15.249900       0.165319

2455597.250616           15.247988       0.163814

2455597.312739           15.246068       0.162312

2455597.374862           15.244140       0.160815

2455597.436986           15.242204       0.159322

2455597.499109           15.240260       0.157833

2455597.561232           15.238308       0.156348

2455597.623355           15.236349       0.154867

2455597.685478           15.234381       0.153391

2455597.747601           15.232406       0.151919

2455597.809724           15.230423       0.150451

2455597.871847           15.228433       0.148988

2455597.933971           15.226434       0.147529

2455597.996094           15.224428       0.146075

2455598.058217           15.222415       0.144625

2455598.120340           15.220394       0.143181

2455598.182463           15.218366       0.141741

2455598.244586           15.216330       0.140305

2455598.306709           15.214287       0.138875

2455598.368832           15.212236       0.137450

2455598.430956           15.210179       0.136030

2455598.493079           15.208114       0.134615

2455598.555202           15.206042       0.133205

2455598.617325           15.203963       0.131800

2455598.679448           15.201876       0.130401

2455598.741571           15.199783       0.129007

2455598.803694           15.197683       0.127619

2455598.865817           15.195576       0.126236

2455598.927941           15.193462       0.124859

2455598.990064           15.191341       0.123487

2455599.052187           15.189214       0.122122

2455599.114310           15.187080       0.120762

2455599.176433           15.184939       0.119408

2455599.238556           15.182792       0.118060

2455599.300679           15.180638       0.116718

2455599.362802           15.178478       0.115382

2455599.424926           15.176312       0.114053

2455599.487049           15.174139       0.112729

2455599.549172           15.171961       0.111412

2455599.611295           15.169776       0.110102

2455599.673418           15.167585       0.108798

2455599.735541           15.165388       0.107500

2455599.797664           15.163185       0.106210

2455599.859787           15.160976       0.104926

2455599.921911           15.158762       0.103648

