This file contains the LC params of SN2011de in filter-B

#-----------------------------#

#-----------------------------#
Jd at maximum in B band is: 2455715.824497 +/- 0.448630
Magnitude at maximum in B band is: 15.938514 +/- 0.043055
#-----------------------------#
#-----------------------------#
JD after 15-days from B band maximum is: 2455730.824497
Magnitude after 15-days from B band maximum is: 16.617032 +/- 0.031762
Estimated value of dm15 is: 0.678518 +/- 0.053503
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2455701.786300           16.278504       0.228642

2455701.861371           16.276435       0.226420

2455701.936441           16.274359       0.224201

2455702.011512           16.272276       0.221987

2455702.086582           16.270185       0.219776

2455702.161653           16.268088       0.217569

2455702.236723           16.265983       0.215367

2455702.311794           16.263872       0.213168

2455702.386865           16.261754       0.210974

2455702.461935           16.259629       0.208785

2455702.537006           16.257497       0.206600

2455702.612076           16.255359       0.204421

2455702.687147           16.253214       0.202246

2455702.762217           16.251063       0.200076

2455702.837288           16.248906       0.197911

2455702.912359           16.246742       0.195751

2455702.987429           16.244572       0.193597

2455703.062500           16.242396       0.191449

2455703.137570           16.240214       0.189306

2455703.212641           16.238026       0.187169

2455703.287711           16.235832       0.185038

2455703.362782           16.233632       0.182913

2455703.437853           16.231427       0.180794

2455703.512923           16.229216       0.178682

2455703.587994           16.227000       0.176576

2455703.663064           16.224779       0.174476

2455703.738135           16.222552       0.172384

2455703.813205           16.220320       0.170298

2455703.888276           16.218083       0.168220

2455703.963347           16.215841       0.166149

2455704.038417           16.213594       0.164085

2455704.113488           16.211342       0.162028

2455704.188558           16.209086       0.159980

2455704.263629           16.206825       0.157939

2455704.338699           16.204560       0.155906

2455704.413770           16.202291       0.153881

2455704.488841           16.200018       0.151865

2455704.563911           16.197740       0.149857

2455704.638982           16.195459       0.147858

2455704.714052           16.193174       0.145868

2455704.789123           16.190885       0.143886

2455704.864193           16.188593       0.141914

2455704.939264           16.186297       0.139952

2455705.014335           16.183998       0.137998

2455705.089405           16.181696       0.136055

2455705.164476           16.179391       0.134121

2455705.239546           16.177083       0.132198

2455705.314617           16.174773       0.130284

2455705.389687           16.172460       0.128382

2455705.464758           16.170144       0.126490

2455705.539829           16.167827       0.124609

2455705.614899           16.165507       0.122739

2455705.689970           16.163185       0.120880

2455705.765040           16.160862       0.119033

2455705.840111           16.158537       0.117197

2455705.915181           16.156210       0.115374

2455705.990252           16.153882       0.113562

2455706.065323           16.151553       0.111763

2455706.140393           16.149223       0.109977

2455706.215464           16.146893       0.108204

2455706.290534           16.144561       0.106444

2455706.365605           16.142230       0.104697

2455706.440675           16.139898       0.102964

2455706.515746           16.137566       0.101245

2455706.590817           16.135234       0.099540

2455706.665887           16.132902       0.097849

2455706.740958           16.130571       0.096173

2455706.816028           16.128241       0.094513

2455706.891099           16.125911       0.092867

2455706.966169           16.123583       0.091238

2455707.041240           16.121256       0.089624

2455707.116311           16.118930       0.088027

2455707.191381           16.116607       0.086446

2455707.266452           16.114285       0.084882

2455707.341522           16.111965       0.083336

2455707.416593           16.109647       0.081807

2455707.491663           16.107332       0.080297

2455707.566734           16.105020       0.078804

2455707.641805           16.102711       0.077331

2455707.716875           16.100406       0.075877

2455707.791946           16.098103       0.074442

2455707.867016           16.095805       0.073028

2455707.942087           16.093510       0.071634

2455708.017157           16.091220       0.070261

2455708.092228           16.088934       0.068910

2455708.167298           16.086652       0.067580

2455708.242369           16.084376       0.066273

2455708.317440           16.082105       0.064989

2455708.392510           16.079839       0.063728

2455708.467581           16.077579       0.062491

2455708.542651           16.075325       0.061278

2455708.617722           16.073078       0.060090

2455708.692792           16.070836       0.058928

2455708.767863           16.068602       0.057792

2455708.842934           16.066375       0.056682

2455708.918004           16.064155       0.055600

2455708.993075           16.061943       0.054546

2455709.068145           16.059739       0.053519

2455709.143216           16.057543       0.052522

2455709.218286           16.055355       0.051554

2455709.293357           16.053177       0.050616

2455709.368428           16.051007       0.049708

2455709.443498           16.048847       0.048832

2455709.518569           16.046697       0.047987

2455709.593639           16.044557       0.047174

2455709.668710           16.042428       0.046393

2455709.743780           16.040309       0.045646

2455709.818851           16.038201       0.044931

2455709.893922           16.036105       0.044250

2455709.968992           16.034021       0.043602

2455710.044063           16.031948       0.042989

2455710.119133           16.029888       0.042410

2455710.194204           16.027841       0.041864

2455710.269274           16.025807       0.041353

2455710.344345           16.023787       0.040876

2455710.419416           16.021780       0.040433

2455710.494486           16.019788       0.040023

2455710.569557           16.017810       0.039647

2455710.644627           16.015847       0.039303

2455710.719698           16.013900       0.038992

2455710.794768           16.011969       0.038712

2455710.869839           16.010053       0.038464

2455710.944910           16.008154       0.038246

2455711.019980           16.006272       0.038057

2455711.095051           16.004407       0.037897

2455711.170121           16.002560       0.037765

2455711.245192           16.000731       0.037659

2455711.320262           15.998920       0.037578

2455711.395333           15.997128       0.037522

2455711.470404           15.995355       0.037489

2455711.545474           15.993602       0.037478

2455711.620545           15.991869       0.037488

2455711.695615           15.990156       0.037517

2455711.770686           15.988464       0.037564

2455711.845756           15.986793       0.037629

2455711.920827           15.985144       0.037709

2455711.995898           15.983516       0.037804

2455712.070968           15.981911       0.037912

2455712.146039           15.980329       0.038033

2455712.221109           15.978770       0.038164

2455712.296180           15.977234       0.038305

2455712.371250           15.975722       0.038455

2455712.446321           15.974235       0.038612

2455712.521392           15.972772       0.038777

2455712.596462           15.971335       0.038946

2455712.671533           15.969922       0.039121

2455712.746603           15.968536       0.039299

2455712.821674           15.967176       0.039480

2455712.896744           15.965843       0.039663

2455712.971815           15.964536       0.039847

2455713.046886           15.963257       0.040031

2455713.121956           15.962006       0.040215

2455713.197027           15.960783       0.040398

2455713.272097           15.959589       0.040580

2455713.347168           15.958423       0.040759

2455713.422238           15.957287       0.040935

2455713.497309           15.956181       0.041108

2455713.572380           15.955104       0.041277

2455713.647450           15.954058       0.041442

2455713.722521           15.953043       0.041602

2455713.797591           15.952059       0.041756

2455713.872662           15.951107       0.041905

2455713.947732           15.950186       0.042048

2455714.022803           15.949298       0.042184

2455714.097874           15.948442       0.042314

2455714.172944           15.947619       0.042437

2455714.248015           15.946829       0.042552

2455714.323085           15.946073       0.042660

2455714.398156           15.945352       0.042761

2455714.473226           15.944664       0.042853

2455714.548297           15.944011       0.042938

2455714.623368           15.943393       0.043014

2455714.698438           15.942810       0.043082

2455714.773509           15.942263       0.043142

2455714.848579           15.941752       0.043193

