This file contains the LC params of SN2012cg in filter-B

#-----------------------------#

#-----------------------------#
Jd at maximum in B band is: 2456081.268877 +/- 0.905443
Magnitude at maximum in B band is: 12.158802 +/- 0.019801
#-----------------------------#
#-----------------------------#
JD after 15-days from B band maximum is: 2456096.268877
Magnitude after 15-days from B band maximum is: 13.070210 +/- 0.030112
Estimated value of dm15 is: 0.911409 +/- 0.036039
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2456058.218600           18.301438       0.214313

2456058.415611           18.246877       0.207858

2456058.612622           18.191335       0.201453

2456058.809633           18.134816       0.195099

2456059.006644           18.077323       0.188800

2456059.203655           18.018863       0.182558

2456059.400665           17.959439       0.176375

2456059.597676           17.899060       0.170255

2456059.794687           17.837732       0.164200

2456059.991698           17.775463       0.158213

2456060.188709           17.712261       0.152296

2456060.385720           17.648137       0.146452

2456060.582731           17.583099       0.140684

2456060.779742           17.517161       0.134996

2456060.976753           17.450332       0.129389

2456061.173764           17.382627       0.123867

2456061.370775           17.314059       0.118433

2456061.567785           17.244642       0.113090

2456061.764796           17.174394       0.107841

2456061.961807           17.103331       0.102688

2456062.158818           17.031470       0.097636

2456062.355829           16.958831       0.092686

2456062.552840           16.885434       0.087844

2456062.749851           16.811300       0.083111

2456062.946862           16.736453       0.078492

2456063.143873           16.660915       0.073989

2456063.340884           16.584712       0.069607

2456063.537895           16.507870       0.065350

2456063.734906           16.430417       0.061220

2456063.931916           16.352383       0.057223

2456064.128927           16.273798       0.053363

2456064.325938           16.194694       0.049644

2456064.522949           16.115105       0.046071

2456064.719960           16.035066       0.042651

2456064.916971           15.954614       0.039389

2456065.113982           15.873788       0.036292

2456065.310993           15.792628       0.033367

2456065.508004           15.711176       0.030622

2456065.705015           15.629476       0.028068

2456065.902026           15.547573       0.025714

2456066.099036           15.465516       0.023572

2456066.296047           15.383355       0.021652

2456066.493058           15.301140       0.019966

2456066.690069           15.218926       0.018522

2456066.887080           15.136768       0.017326

2456067.084091           15.054724       0.016376

2456067.281102           14.972854       0.015662

2456067.478113           14.891219       0.015168

2456067.675124           14.809883       0.014865

