This file contains the LC params of SN2012dn in filter-B

#-----------------------------#

#-----------------------------#
Jd at maximum in B band is: 2456133.540505 +/- 0.441771
Magnitude at maximum in B band is: 14.354004 +/- 0.024666
#-----------------------------#
#-----------------------------#
JD after 15-days from B band maximum is: 2456148.540505
Magnitude after 15-days from B band maximum is: 15.358784 +/- 0.043098
Estimated value of dm15 is: 1.004779 +/- 0.049658
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2456113.631300           15.991489       0.162516

2456113.669078           15.988683       0.161800

2456113.706857           15.985866       0.161085

2456113.744635           15.983038       0.160370

2456113.782414           15.980200       0.159657

2456113.820192           15.977350       0.158944

2456113.857970           15.974490       0.158231

2456113.895749           15.971619       0.157520

2456113.933527           15.968737       0.156809

2456113.971305           15.965844       0.156099

2456114.009084           15.962941       0.155390

2456114.046862           15.960026       0.154681

2456114.084641           15.957101       0.153973

2456114.122419           15.954165       0.153266

2456114.160197           15.951218       0.152560

2456114.197976           15.948261       0.151855

2456114.235754           15.945292       0.151150

2456114.273532           15.942313       0.150447

2456114.311311           15.939323       0.149744

2456114.349089           15.936323       0.149042

2456114.386868           15.933311       0.148340

2456114.424646           15.930289       0.147640

2456114.462424           15.927257       0.146941

2456114.500203           15.924213       0.146242

2456114.537981           15.921159       0.145544

2456114.575759           15.918094       0.144848

2456114.613538           15.915019       0.144152

2456114.651316           15.911933       0.143457

2456114.689095           15.908836       0.142763

2456114.726873           15.905729       0.142070

2456114.764651           15.902611       0.141378

2456114.802430           15.899483       0.140687

2456114.840208           15.896344       0.139997

2456114.877986           15.893194       0.139307

2456114.915765           15.890034       0.138619

2456114.953543           15.886863       0.137932

2456114.991322           15.883682       0.137246

2456115.029100           15.880490       0.136561

2456115.066878           15.877288       0.135877

2456115.104657           15.874076       0.135194

2456115.142435           15.870853       0.134512

2456115.180214           15.867619       0.133831

2456115.217992           15.864376       0.133151

2456115.255770           15.861121       0.132472

2456115.293549           15.857857       0.131795

2456115.331327           15.854582       0.131118

2456115.369105           15.851297       0.130443

2456115.406884           15.848001       0.129768

2456115.444662           15.844695       0.129095

2456115.482441           15.841379       0.128423

2456115.520219           15.838053       0.127753

2456115.557997           15.834716       0.127083

2456115.595776           15.831369       0.126414

2456115.633554           15.828012       0.125747

2456115.671332           15.824645       0.125081

2456115.709111           15.821268       0.124416

2456115.746889           15.817880       0.123753

2456115.784668           15.814483       0.123090

2456115.822446           15.811075       0.122429

2456115.860224           15.807658       0.121770

2456115.898003           15.804230       0.121111

2456115.935781           15.800793       0.120454

2456115.973559           15.797345       0.119798

2456116.011338           15.793887       0.119143

2456116.049116           15.790420       0.118490

2456116.086895           15.786943       0.117838

2456116.124673           15.783455       0.117187

2456116.162451           15.779958       0.116538

2456116.200230           15.776451       0.115890

2456116.238008           15.772935       0.115243

2456116.275786           15.769408       0.114598

2456116.313565           15.765872       0.113954

2456116.351343           15.762326       0.113312

2456116.389122           15.758771       0.112671

2456116.426900           15.755206       0.112031

2456116.464678           15.751631       0.111393

2456116.502457           15.748046       0.110757

2456116.540235           15.744452       0.110121

2456116.578014           15.740849       0.109488

2456116.615792           15.737236       0.108856

2456116.653570           15.733614       0.108225

2456116.691349           15.729982       0.107596

2456116.729127           15.726341       0.106968

2456116.766905           15.722690       0.106342

2456116.804684           15.719030       0.105717

2456116.842462           15.715361       0.105094

2456116.880241           15.711682       0.104473

2456116.918019           15.707995       0.103853

2456116.955797           15.704298       0.103235

2456116.993576           15.700592       0.102618

2456117.031354           15.696877       0.102003

2456117.069132           15.693152       0.101390

