 JD uvw1 uvw1Err uvv uvvErr uvw1ex uvw1exErr uvvex uvvexErr uvw1-uvv uvw1-uvvErr Phase
0 2453526.000 16.307 0.086 14.321 0.052 15.160 0.217 13.788 0.106 1.373 0.241 -8.740
1 2453527.000 15.856 0.077 14.113 0.049 14.709 0.213 13.580 0.105 1.130 0.237 -7.740
2 2453528.000 15.547 0.073 13.984 0.048 14.400 0.212 13.451 0.104 0.950 0.236 -6.740
3 2453531.000 15.061 0.068 13.660 0.044 13.914 0.210 13.127 0.102 0.788 0.234 -3.740
4 2453532.000 15.058 0.068 13.621 0.044 13.911 0.210 13.088 0.102 0.824 0.234 -2.740
5 2453533.000 15.093 0.068 13.575 0.044 13.946 0.210 13.042 0.102 0.905 0.234 -1.740
6 2453538.000 15.338 0.071 13.552 0.044 14.191 0.211 13.019 0.102 1.173 0.235 3.260
7 2453548.000 16.593 0.085 14.032 0.048 15.446 0.216 13.499 0.104 1.948 0.240 13.260
8 2453551.000 16.882 0.100 14.170 0.050 15.735 0.223 13.637 0.105 2.099 0.246 16.260
9 2453564.000 18.134 0.166 14.890 0.065 16.987 0.259 14.357 0.113 2.631 0.283 29.260
