 JD uvb uvbErr uvv uvvErr uvbex uvbexErr uvvex uvvexErr uvb-uvv uvb-uvvErr Phase
0 2455065.000 17.043 0.072 16.456 0.082 16.810 0.083 16.281 0.088 0.530 0.121 -13.860
1 2455067.000 16.071 0.061 15.753 0.068 15.838 0.074 15.578 0.075 0.261 0.105 -11.860
3 2455069.000 14.865 0.046 14.841 0.058 14.632 0.062 14.666 0.066 -0.033 0.090 -9.860
4 2455071.000 14.285 0.042 14.271 0.051 14.052 0.059 14.096 0.060 -0.043 0.084 -7.860
5 2455073.000 13.907 0.041 13.867 0.045 13.674 0.058 13.692 0.055 -0.017 0.080 -5.860
6 2455075.000 13.683 0.041 13.674 0.044 13.450 0.058 13.499 0.054 -0.048 0.079 -3.860
8 2455077.000 13.629 0.041 13.560 0.044 13.396 0.058 13.385 0.054 0.012 0.079 -1.860
10 2455079.000 13.548 0.040 13.430 0.043 13.315 0.057 13.255 0.053 0.061 0.078 0.140
11 2455081.000 13.573 0.040 13.422 0.043 13.340 0.057 13.247 0.053 0.094 0.078 2.140
13 2455084.000 13.636 0.041 13.456 0.044 13.403 0.058 13.281 0.054 0.123 0.079 5.140
14 2455087.000 13.745 0.041 13.508 0.043 13.512 0.058 13.333 0.053 0.180 0.079 8.140
16 2455090.000 13.915 0.041 13.609 0.044 13.682 0.058 13.434 0.054 0.249 0.079 11.140
17 2455099.000 14.746 0.045 14.104 0.048 14.513 0.061 13.929 0.057 0.585 0.083 20.140
18 2455106.000 15.398 0.051 14.388 0.052 15.165 0.065 14.213 0.060 0.953 0.089 27.140
19 2455108.000 15.556 0.054 14.475 0.054 15.323 0.068 14.300 0.062 1.024 0.092 29.140
20 2455114.000 16.016 0.060 14.838 0.058 15.783 0.073 14.663 0.066 1.121 0.098 35.140
21 2455117.000 16.176 0.062 15.104 0.060 15.943 0.074 14.929 0.067 1.015 0.100 38.140
