 JD uvw1 uvw1Err uvv uvvErr uvw1ex uvw1exErr uvvex uvvexErr uvw1-uvv uvw1-uvvErr Phase
0 2455065.000 19.260 0.195 16.456 0.082 18.883 0.206 16.281 0.088 2.603 0.224 -13.860
1 2455067.000 18.383 0.130 15.753 0.068 18.006 0.146 15.578 0.075 2.429 0.164 -11.860
3 2455069.000 16.345 0.098 14.841 0.058 15.968 0.118 14.666 0.066 1.303 0.135 -9.860
4 2455071.000 15.600 0.066 14.271 0.051 15.223 0.094 14.096 0.060 1.128 0.111 -7.860
5 2455073.000 14.918 0.057 13.867 0.045 14.541 0.088 13.692 0.055 0.850 0.103 -5.860
6 2455075.000 14.698 0.054 13.674 0.044 14.321 0.086 13.499 0.054 0.823 0.101 -3.860
8 2455077.000 14.693 0.055 13.560 0.044 14.316 0.086 13.385 0.054 0.932 0.102 -1.860
10 2455079.000 14.769 0.056 13.430 0.043 14.392 0.087 13.255 0.053 1.138 0.102 0.140
11 2455081.000 14.831 0.056 13.422 0.043 14.454 0.087 13.247 0.053 1.208 0.102 2.140
13 2455084.000 15.183 0.064 13.456 0.044 14.806 0.092 13.281 0.054 1.526 0.107 5.140
14 2455087.000 15.420 0.064 13.508 0.043 15.043 0.092 13.333 0.053 1.711 0.106 8.140
16 2455090.000 15.727 0.067 13.609 0.044 15.350 0.094 13.434 0.054 1.917 0.109 11.140
17 2455099.000 16.836 0.080 14.104 0.048 16.459 0.104 13.929 0.057 2.531 0.119 20.140
18 2455106.000 17.612 0.096 14.388 0.052 17.235 0.117 14.213 0.060 3.023 0.131 27.140
19 2455108.000 17.656 0.102 14.475 0.054 17.279 0.122 14.300 0.062 2.980 0.137 29.140
20 2455114.000 17.960 0.107 14.838 0.058 17.583 0.126 14.663 0.066 2.921 0.142 35.140
21 2455117.000 18.374 0.130 15.104 0.060 17.997 0.146 14.929 0.067 3.069 0.161 38.140
