 JD uvb uvbErr uvv uvvErr uvbex uvbexErr uvvex uvvexErr uvb-uvv uvb-uvvErr Phase
0 2455604.000 15.019 0.047 15.031 0.060 14.753 0.049 14.831 0.061 -0.078 0.078 -8.600
1 2455606.000 14.925 0.047 14.928 0.064 14.659 0.049 14.728 0.065 -0.069 0.081 -6.600
2 2455608.000 14.869 0.046 14.895 0.058 14.603 0.048 14.695 0.059 -0.092 0.076 -4.600
3 2455610.000 14.823 0.046 14.864 0.058 14.557 0.048 14.664 0.059 -0.107 0.076 -2.600
4 2455612.000 14.769 0.046 14.717 0.057 14.503 0.048 14.517 0.058 -0.014 0.075 -0.600
5 2455614.000 14.823 0.047 14.732 0.057 14.557 0.049 14.532 0.058 0.025 0.075 1.400
6 2455616.000 14.821 0.046 14.761 0.057 14.555 0.048 14.561 0.058 -0.006 0.075 3.400
7 2455618.000 14.932 0.050 14.767 0.057 14.666 0.051 14.567 0.058 0.099 0.077 5.400
9 2455622.000 15.078 0.053 14.842 0.058 14.812 0.054 14.642 0.059 0.170 0.080 9.400
10 2455633.000 15.964 0.061 15.258 0.060 15.698 0.062 15.058 0.061 0.640 0.087 20.400
11 2455636.000 16.144 0.064 15.423 0.064 15.878 0.065 15.223 0.065 0.655 0.092 23.400
12 2455638.000 16.310 0.065 15.580 0.064 16.044 0.066 15.380 0.065 0.664 0.093 25.400
13 2455641.000 16.453 0.068 15.555 0.065 16.187 0.069 15.355 0.066 0.832 0.095 28.400
14 2455650.000 16.724 0.072 15.742 0.066 16.458 0.073 15.542 0.067 0.916 0.099 37.400
15 2455658.000 16.958 0.079 15.979 0.071 16.692 0.080 15.779 0.072 0.913 0.107 45.400
