 JD uvb uvbErr uvv uvvErr uvbex uvbexErr uvvex uvvexErr uvb-uvv uvb-uvvErr Phase
0 2455710.000 16.061 0.057 16.038 0.062 15.956 0.057 15.959 0.062 -0.003 0.084 -5.820
1 2455712.000 15.987 0.055 15.899 0.058 15.882 0.055 15.820 0.058 0.062 0.080 -3.820
2 2455719.000 15.924 0.051 15.969 0.060 15.819 0.051 15.890 0.060 -0.071 0.079 3.180
3 2455721.000 16.079 0.056 16.031 0.061 15.974 0.056 15.952 0.061 0.022 0.083 5.180
4 2455723.000 16.145 0.056 16.029 0.060 16.040 0.056 15.950 0.060 0.090 0.082 7.180
5 2455725.000 16.233 0.056 16.059 0.061 16.128 0.056 15.980 0.061 0.148 0.083 9.180
6 2455727.000 16.332 0.057 16.112 0.061 16.227 0.057 16.033 0.061 0.194 0.084 11.180
7 2455729.000 16.516 0.058 16.168 0.062 16.411 0.058 16.089 0.062 0.322 0.085 13.180
8 2455731.000 16.619 0.058 16.316 0.064 16.514 0.058 16.237 0.064 0.277 0.086 15.180
9 2455733.000 16.730 0.058 16.251 0.062 16.625 0.058 16.172 0.062 0.453 0.085 17.180
10 2455756.000 18.286 0.089 17.476 0.093 18.181 0.089 17.397 0.093 0.784 0.129 40.180
11 2455761.000 18.577 0.125 17.484 0.108 18.472 0.125 17.405 0.108 1.067 0.165 45.180
12 2455777.000 18.822 0.118 18.082 0.146 18.717 0.118 18.003 0.146 0.714 0.188 61.180
