 JD uvw1 uvw1Err uvv uvvErr uvw1ex uvw1exErr uvvex uvvexErr uvw1-uvv uvw1-uvvErr Phase
0 2455710.000 15.879 0.065 16.038 0.062 15.710 0.065 15.959 0.062 -0.250 0.090 -5.820
1 2455712.000 15.971 0.063 15.899 0.058 15.802 0.063 15.820 0.058 -0.019 0.086 -3.820
2 2455719.000 16.710 0.066 15.969 0.060 16.541 0.066 15.890 0.060 0.650 0.089 3.180
3 2455721.000 16.876 0.068 16.031 0.061 16.707 0.068 15.952 0.061 0.754 0.091 5.180
4 2455723.000 17.153 0.070 16.029 0.060 16.984 0.070 15.950 0.060 1.033 0.092 7.180
5 2455725.000 17.309 0.072 16.059 0.061 17.140 0.072 15.980 0.061 1.159 0.094 9.180
6 2455727.000 17.563 0.075 16.112 0.061 17.394 0.075 16.033 0.061 1.360 0.097 11.180
7 2455729.000 17.786 0.080 16.168 0.062 17.617 0.080 16.089 0.062 1.527 0.101 13.180
8 2455731.000 18.005 0.085 16.316 0.064 17.836 0.085 16.237 0.064 1.598 0.106 15.180
9 2455733.000 18.163 0.087 16.251 0.062 17.994 0.087 16.172 0.062 1.821 0.107 17.180
10 2455756.000 19.529 0.176 17.476 0.093 19.360 0.176 17.397 0.093 1.962 0.199 40.180
11 2455761.000 19.935 0.283 17.484 0.108 19.766 0.283 17.405 0.108 2.360 0.303 45.180
12 2455777.000 20.129 0.278 18.082 0.146 19.960 0.278 18.003 0.146 1.956 0.314 61.180
