 JD uvb uvbErr uvv uvvErr uvbex uvbexErr uvvex uvvexErr uvb-uvv uvb-uvvErr Phase
0 2455800.000 13.720 0.030 13.394 0.034 13.559 0.186 13.273 0.143 0.286 0.235 -14.980
1 2455801.000 12.861 0.029 12.586 0.031 12.700 0.186 12.465 0.142 0.235 0.234 -13.980
46 2455849.000 12.828 0.029 11.743 0.029 12.667 0.186 11.622 0.142 1.045 0.234 34.020
47 2455850.000 12.925 0.029 11.831 0.029 12.764 0.186 11.710 0.142 1.054 0.234 35.020
49 2455852.000 13.008 0.029 11.899 0.029 12.847 0.186 11.778 0.142 1.069 0.234 37.020
50 2455853.000 13.012 0.029 11.935 0.029 12.851 0.186 11.814 0.142 1.037 0.234 38.020
51 2455854.000 13.070 0.029 12.021 0.029 12.909 0.186 11.900 0.142 1.009 0.234 39.020
52 2455855.000 13.101 0.029 12.027 0.029 12.940 0.186 11.906 0.142 1.034 0.234 40.020
53 2455856.000 13.131 0.029 12.049 0.029 12.970 0.186 11.928 0.142 1.042 0.234 41.020
54 2455857.000 13.150 0.029 12.130 0.029 12.989 0.186 12.009 0.142 0.980 0.234 42.020
55 2455858.000 13.168 0.029 12.144 0.029 13.007 0.186 12.023 0.142 0.984 0.234 43.020
56 2455859.000 13.234 0.030 12.190 0.030 13.073 0.186 12.069 0.142 1.004 0.234 44.020
57 2455860.000 13.198 0.029 12.163 0.029 13.037 0.186 12.042 0.142 0.995 0.234 45.020
58 2455861.000 13.175 0.030 12.197 0.029 13.014 0.186 12.076 0.142 0.938 0.234 46.020
59 2455862.000 13.206 0.030 12.224 0.029 13.045 0.186 12.103 0.142 0.942 0.234 47.020
60 2455863.000 13.220 0.030 12.257 0.029 13.059 0.186 12.136 0.142 0.923 0.234 48.020
61 2455864.000 13.317 0.030 12.328 0.029 13.156 0.186 12.207 0.142 0.949 0.234 49.020
62 2455865.000 13.328 0.030 12.356 0.030 13.167 0.186 12.235 0.142 0.932 0.234 50.020
63 2455866.000 13.354 0.030 12.384 0.030 13.193 0.186 12.263 0.142 0.930 0.234 51.020
64 2455867.000 13.359 0.030 12.404 0.030 13.198 0.186 12.283 0.142 0.915 0.234 52.020
65 2455868.000 13.373 0.030 12.430 0.030 13.212 0.186 12.309 0.142 0.903 0.234 53.020
66 2455869.000 13.314 0.030 12.453 0.030 13.153 0.186 12.332 0.142 0.821 0.234 54.020
67 2455870.000 13.421 0.030 12.481 0.030 13.260 0.186 12.360 0.142 0.900 0.234 55.020
68 2455874.000 13.485 0.030 12.557 0.030 13.324 0.186 12.436 0.142 0.888 0.234 59.020
69 2455876.000 13.505 0.031 12.556 0.031 13.344 0.187 12.435 0.142 0.909 0.235 61.020
70 2455878.000 13.589 0.031 12.721 0.031 13.428 0.187 12.600 0.142 0.828 0.235 63.020
71 2455880.000 13.531 0.031 12.757 0.031 13.370 0.187 12.636 0.142 0.734 0.235 65.020
72 2455882.000 13.541 0.030 12.827 0.031 13.380 0.186 12.706 0.142 0.674 0.234 67.020
73 2455886.000 13.609 0.030 12.913 0.031 13.448 0.186 12.792 0.142 0.656 0.234 71.020
74 2455888.000 13.646 0.030 12.978 0.032 13.485 0.186 12.857 0.142 0.628 0.235 73.020
75 2455890.000 13.676 0.030 12.980 0.031 13.515 0.186 12.859 0.142 0.656 0.234 75.020
76 2455892.000 13.750 0.031 13.082 0.032 13.589 0.187 12.961 0.142 0.628 0.235 77.020
77 2455894.000 13.753 0.031 13.138 0.032 13.592 0.187 13.017 0.142 0.575 0.235 79.020
78 2455896.000 13.797 0.031 13.157 0.032 13.636 0.187 13.036 0.142 0.600 0.235 81.020
79 2455898.000 13.777 0.031 13.217 0.034 13.616 0.187 13.096 0.143 0.520 0.235 83.020
80 2455900.000 13.804 0.031 13.219 0.032 13.643 0.187 13.098 0.142 0.545 0.235 85.020
81 2455902.000 13.890 0.031 13.338 0.033 13.729 0.187 13.217 0.142 0.512 0.235 87.020
82 2455904.000 13.846 0.031 13.383 0.033 13.685 0.187 13.262 0.142 0.423 0.235 89.020
83 2455906.000 13.915 0.031 13.410 0.033 13.754 0.187 13.289 0.142 0.465 0.235 91.020
84 2455910.000 13.961 0.031 13.484 0.034 13.800 0.187 13.363 0.143 0.437 0.235 95.020
85 2455914.000 13.981 0.031 13.540 0.035 13.820 0.187 13.419 0.143 0.401 0.235 99.020
87 2455798.000 15.427 0.048 15.068 0.059 15.266 0.190 14.947 0.151 0.319 0.243 -16.980
