 JD uvw1 uvw1Err uvv uvvErr uvw1ex uvw1exErr uvvex uvvexErr uvw1-uvv uvw1-uvvErr Phase
0 2455800.000 15.554 0.066 13.394 0.034 15.293 0.305 13.273 0.143 2.021 0.337 -14.980
1 2455801.000 14.582 0.061 12.586 0.031 14.321 0.304 12.465 0.142 1.857 0.336 -13.980
2 2455802.000 13.876 0.041 12.270 0.029 13.615 0.301 12.149 0.142 1.467 0.332 -12.980
3 2455803.000 13.717 0.036 12.058 0.029 13.456 0.300 11.937 0.142 1.520 0.332 -11.980
5 2455805.000 12.328 0.030 11.228 0.028 12.067 0.299 11.107 0.141 0.961 0.331 -9.980
6 2455806.000 11.855 0.029 11.003 0.028 11.594 0.299 10.882 0.141 0.713 0.331 -8.980
7 2455807.000 11.415 0.029 10.745 0.028 11.154 0.299 10.624 0.141 0.531 0.331 -7.980
8 2455808.000 11.245 0.028 10.605 0.028 10.984 0.299 10.484 0.141 0.501 0.331 -6.980
28 2455830.000 12.946 0.039 10.666 0.028 12.685 0.300 10.545 0.141 2.141 0.332 15.020
30 2455832.000 13.225 0.034 10.790 0.028 12.964 0.300 10.669 0.141 2.296 0.332 17.020
31 2455833.000 13.380 0.035 10.848 0.028 13.119 0.300 10.727 0.141 2.393 0.332 18.020
32 2455834.000 13.444 0.036 10.851 0.028 13.183 0.300 10.730 0.141 2.454 0.332 19.020
33 2455836.000 13.686 0.038 10.967 0.028 13.425 0.300 10.846 0.141 2.580 0.332 21.020
34 2455837.000 13.763 0.039 11.055 0.028 13.502 0.300 10.934 0.141 2.569 0.332 22.020
36 2455839.000 13.978 0.042 11.129 0.029 13.717 0.301 11.008 0.142 2.710 0.333 24.020
37 2455840.000 14.066 0.042 11.175 0.029 13.805 0.301 11.054 0.142 2.752 0.333 25.020
38 2455841.000 14.075 0.045 11.217 0.029 13.814 0.301 11.096 0.142 2.719 0.333 26.020
39 2455842.000 14.212 0.046 11.298 0.029 13.951 0.301 11.177 0.142 2.775 0.333 27.020
40 2455843.000 14.282 0.047 11.359 0.029 14.021 0.302 11.238 0.142 2.784 0.333 28.020
41 2455844.000 14.250 0.047 11.399 0.029 13.989 0.302 11.278 0.142 2.712 0.333 29.020
42 2455845.000 14.337 0.049 11.451 0.029 14.076 0.302 11.330 0.142 2.747 0.333 30.020
43 2455846.000 14.398 0.052 11.519 0.029 14.137 0.302 11.398 0.142 2.740 0.334 31.020
44 2455847.000 14.499 0.052 11.610 0.029 14.238 0.302 11.489 0.142 2.750 0.334 32.020
45 2455848.000 14.713 0.060 11.663 0.029 14.452 0.304 11.542 0.142 2.911 0.335 33.020
46 2455849.000 14.947 0.059 11.743 0.029 14.686 0.304 11.622 0.142 3.065 0.335 34.020
47 2455850.000 14.565 0.049 11.831 0.029 14.304 0.302 11.710 0.142 2.595 0.333 35.020
49 2455852.000 14.690 0.053 11.899 0.029 14.429 0.303 11.778 0.142 2.652 0.334 37.020
50 2455853.000 14.730 0.053 11.935 0.029 14.469 0.303 11.814 0.142 2.656 0.334 38.020
51 2455854.000 14.753 0.054 12.021 0.029 14.492 0.303 11.900 0.142 2.593 0.334 39.020
52 2455855.000 14.871 0.062 12.027 0.029 14.610 0.304 11.906 0.142 2.705 0.336 40.020
53 2455856.000 14.904 0.061 12.049 0.029 14.643 0.304 11.928 0.142 2.716 0.335 41.020
54 2455857.000 14.908 0.062 12.130 0.029 14.647 0.304 12.009 0.142 2.639 0.336 42.020
55 2455858.000 14.929 0.072 12.144 0.029 14.668 0.306 12.023 0.142 2.646 0.338 43.020
56 2455859.000 15.006 0.073 12.190 0.030 14.745 0.307 12.069 0.142 2.677 0.338 44.020
57 2455860.000 14.956 0.063 12.163 0.029 14.695 0.304 12.042 0.142 2.654 0.336 45.020
58 2455861.000 15.012 0.064 12.197 0.029 14.751 0.305 12.076 0.142 2.676 0.336 46.020
59 2455862.000 15.203 0.061 12.224 0.029 14.942 0.304 12.103 0.142 2.840 0.335 47.020
60 2455863.000 15.026 0.060 12.257 0.029 14.765 0.304 12.136 0.142 2.630 0.335 48.020
61 2455864.000 15.113 0.061 12.328 0.029 14.852 0.304 12.207 0.142 2.646 0.335 49.020
62 2455865.000 15.167 0.061 12.356 0.030 14.906 0.304 12.235 0.142 2.672 0.336 50.020
63 2455866.000 15.144 0.061 12.384 0.030 14.883 0.304 12.263 0.142 2.621 0.336 51.020
64 2455867.000 15.202 0.061 12.404 0.030 14.941 0.304 12.283 0.142 2.659 0.336 52.020
65 2455868.000 15.284 0.064 12.430 0.030 15.023 0.305 12.309 0.142 2.715 0.336 53.020
66 2455869.000 15.300 0.074 12.453 0.030 15.039 0.307 12.332 0.142 2.708 0.338 54.020
67 2455870.000 15.376 0.063 12.481 0.030 15.115 0.304 12.360 0.142 2.756 0.336 55.020
68 2455874.000 15.428 0.063 12.557 0.030 15.167 0.304 12.436 0.142 2.732 0.336 59.020
69 2455876.000 15.978 0.090 12.556 0.031 15.717 0.311 12.435 0.142 3.283 0.342 61.020
70 2455878.000 15.556 0.065 12.721 0.031 15.295 0.305 12.600 0.142 2.696 0.336 63.020
71 2455880.000 15.616 0.066 12.757 0.031 15.355 0.305 12.636 0.142 2.720 0.337 65.020
72 2455882.000 15.605 0.065 12.827 0.031 15.344 0.305 12.706 0.142 2.639 0.336 67.020
73 2455886.000 15.701 0.066 12.913 0.031 15.440 0.305 12.792 0.142 2.649 0.337 71.020
74 2455888.000 15.756 0.068 12.978 0.032 15.495 0.306 12.857 0.142 2.639 0.337 73.020
75 2455890.000 15.789 0.068 12.980 0.031 15.528 0.306 12.859 0.142 2.670 0.337 75.020
76 2455892.000 15.903 0.070 13.082 0.032 15.642 0.306 12.961 0.142 2.682 0.337 77.020
77 2455894.000 15.983 0.071 13.138 0.032 15.722 0.306 13.017 0.142 2.706 0.338 79.020
78 2455896.000 16.004 0.071 13.157 0.032 15.743 0.306 13.036 0.142 2.708 0.338 81.020
79 2455898.000 15.910 0.080 13.217 0.034 15.649 0.308 13.096 0.143 2.554 0.340 83.020
80 2455900.000 16.033 0.071 13.219 0.032 15.772 0.306 13.098 0.142 2.675 0.338 85.020
81 2455902.000 16.142 0.073 13.338 0.033 15.881 0.307 13.217 0.142 2.665 0.338 87.020
82 2455904.000 16.118 0.073 13.383 0.033 15.857 0.307 13.262 0.142 2.596 0.338 89.020
83 2455906.000 16.217 0.074 13.410 0.033 15.956 0.307 13.289 0.142 2.668 0.338 91.020
84 2455910.000 16.300 0.077 13.484 0.034 16.039 0.308 13.363 0.143 2.677 0.339 95.020
85 2455914.000 16.392 0.078 13.540 0.035 16.131 0.308 13.419 0.143 2.713 0.340 99.020
87 2455798.000 17.232 0.124 15.068 0.059 16.971 0.323 14.947 0.151 2.025 0.356 -16.980
