 JD uvb uvbErr uvv uvvErr uvbex uvbexErr uvvex uvvexErr uvb-uvv uvb-uvvErr Phase
0 2456066.000 15.276 0.055 15.193 0.085 14.467 0.212 14.583 0.176 -0.117 0.275 -15.270
1 2456068.000 14.799 0.044 14.510 0.066 13.990 0.209 13.900 0.168 0.089 0.268 -13.270
3 2456072.000 13.205 0.030 13.046 0.035 12.396 0.207 12.436 0.158 -0.041 0.260 -9.270
4 2456074.000 12.681 0.029 12.594 0.032 11.872 0.207 11.984 0.157 -0.113 0.260 -7.270
7 2456081.000 12.170 0.029 12.111 0.030 11.361 0.207 11.501 0.157 -0.141 0.259 -0.270
8 2456083.000 12.206 0.029 12.051 0.030 11.397 0.207 11.441 0.157 -0.045 0.259 1.730
9 2456085.000 12.227 0.029 12.007 0.030 11.418 0.207 11.397 0.157 0.020 0.259 3.730
10 2456087.000 12.275 0.029 12.020 0.030 11.466 0.207 11.410 0.157 0.055 0.259 5.730
11 2456089.000 12.394 0.029 12.161 0.030 11.585 0.207 11.551 0.157 0.033 0.259 7.730
12 2456095.000 12.947 0.030 12.382 0.031 12.138 0.207 11.772 0.157 0.365 0.260 13.730
19 2456115.000 14.728 0.042 13.436 0.039 13.919 0.209 12.826 0.159 1.092 0.262 33.730
20 2456119.000 14.868 0.047 13.660 0.044 14.059 0.210 13.050 0.160 1.008 0.264 37.730
21 2456127.000 15.195 0.054 13.966 0.050 14.386 0.212 13.356 0.162 1.029 0.266 45.730
22 2456131.000 15.351 0.064 14.180 0.062 14.542 0.214 13.570 0.166 0.971 0.271 49.730
