 JD uvw1 uvw1Err uvv uvvErr uvw1ex uvw1exErr uvvex uvvexErr uvw1-uvv uvw1-uvvErr Phase
0 2456066.000 17.135 0.092 15.193 0.085 15.825 0.344 14.583 0.176 1.241 0.386 -15.270
1 2456068.000 16.879 0.085 14.510 0.066 15.569 0.342 13.900 0.168 1.668 0.381 -13.270
3 2456072.000 14.579 0.053 13.046 0.035 13.269 0.335 12.436 0.158 0.832 0.371 -9.270
4 2456074.000 13.930 0.045 12.594 0.032 12.620 0.334 11.984 0.157 0.635 0.369 -7.270
5 2456076.000 13.563 0.044 12.404 0.031 12.253 0.334 11.794 0.157 0.458 0.369 -5.270
6 2456079.000 13.322 0.044 12.120 0.030 12.012 0.334 11.510 0.157 0.501 0.369 -2.270
7 2456081.000 13.382 0.044 12.111 0.030 12.072 0.334 11.501 0.157 0.570 0.369 -0.270
8 2456083.000 13.463 0.043 12.051 0.030 12.153 0.334 11.441 0.157 0.711 0.369 1.730
9 2456085.000 13.576 0.046 12.007 0.030 12.266 0.334 11.397 0.157 0.868 0.369 3.730
11 2456089.000 14.021 0.048 12.161 0.030 12.711 0.334 11.551 0.157 1.159 0.369 7.730
12 2456095.000 14.716 0.060 12.382 0.031 13.406 0.336 11.772 0.157 1.633 0.371 13.730
19 2456115.000 16.763 0.086 13.436 0.039 15.453 0.342 12.826 0.159 2.626 0.377 33.730
20 2456119.000 17.021 0.101 13.660 0.044 15.711 0.346 13.050 0.160 2.660 0.381 37.730
21 2456127.000 17.187 0.106 13.966 0.050 15.877 0.348 13.356 0.162 2.520 0.383 45.730
22 2456131.000 17.338 0.109 14.180 0.062 16.028 0.348 13.570 0.166 2.457 0.386 49.730
