92A       1.47    0.05      -18.81      67    7    10.83    0.15          0.38    0.05     -1.9     olivedrab
89B       1.34    0.07      -18.87      66    5    10.03    0.10          0.29    0.05      3.0     olivedrab
03kf      1.01    0.05      -19.37      50    5    10.63    0.10          0.18    0.05      3.0     olivedrab
96X       1.25    0.05      -19.24      46    5    10.68    0.15          0.25    0.05     -5.0     olivedrab
#%03cg                      -19.67      45    5    10.46    0.10                            1.2     olivedrab
99ee      0.94    0.04      -19.46      42    5     9.90    0.10          0.22    0.05      4.0     olivedrab
90N       1.08    0.05      -19.23      41    5    10.12    0.10          0.21    0.05      3.8     olivedrab
94D       1.32    0.05      -19.06      39    5     9.89    0.10          0.33    0.05     -2.0     olivedrab
03du      1.06    0.06      -18.93      31    5    10.10    0.10          0.22    0.03      8.0     olivedrab
01el      1.15    0.04      -18.71      31    5    10.24    0.10          0.30    0.07      5.9     olivedrab
97br      1.04    0.15      -19.62      25    5    10.40    0.10          0.1     NaN       7.0     olivedrab
99cw      0.94    0.05      -19.24      22    7    10.79    0.15          0.31    NaN       1.5     olivedrab
91T       0.95    0.05      -19.62      11    5     9.87    0.10          0.14    0.05      3.8     olivedrab
98bu      1.04    0.05      -19.12      10    5    10.29    0.10          0.21    0.05      2.0     olivedrab
83G       1.37    0.10      -18.62     125    20   13.49    0.20          0.28    0.06     -2.2     cadetblue
02bo      1.17    0.05      -19.42     110    7    11.73    0.15          0.17    0.05      1.0     cadetblue
97bp      1.09    0.10      -19.69     106    7    13.87    0.20          0.16    0.05      NaN     cadetblue
02er      1.33    0.04      -19.45      92    5    10.52    0.10          0.23    0.05      1.0     cadetblue
84A       1.21    0.10      -19.46      92    10   12.64    0.15          0.23    0.05      1.0     cadetblue
89A       1.06    0.10      -19.21      90    10   12.13    0.15          0.22    0.07      4.1     cadetblue
02dj      1.12    0.05      -19.05      86    6    12.18    0.10          0.17    0.05     -5.0     cadetblue
81B       1.11    0.07      -19.21      76    7    11.11    0.15          0.16    0.05      4.5     cadetblue
99by      1.87    0.10      -16.64     110    10   	9.06    0.10          0.58    0.06      3.0     tomato
91bg      1.93    0.10      -16.81     104    7     8.50    0.15          0.62    0.05     -4.7     tomato
97cn      1.86    0.10      -16.95      83    10    8.81    0.20          0.63    0.06     -5.0     tomato
93H       1.70    0.10      -18.20      73    8    10.10    0.20          0.52    0.05      1.9     tomato
86G       1.78    0.07      -17.48      64    5     9.36    0.15          0.53    0.05     -2.2     tomato
17hpa     1.08    0.03      -19.35     128   10     8.35    NaN           NaN     NaN       NaN     black
14J       1.08    0.03       NaN       50    10    NaN     NaN           NaN     NaN       NaN     olivedrab
11fe      1.18    0.03       NaN       52    9    NaN     NaN           NaN     NaN       NaN     olivedrab
19ein     1.36    0.02       NaN       45    10    NaN     NaN           NaN     NaN       NaN     olivedrab
05cf      1.05    0.03       NaN       35    5      NaN     NaN           NaN     NaN       NaN     olivedrab
10ev	  1.12	  0.02       NaN        164   7     NaN      NaN          NaN     NaN        NaN     cadetblue
04dt      1.21   0.05        NaN       160  8      NaN     NaN           NaN    NaN        NaN       cadetblue
06X       1.31   0.05       NaN        123  9      NaN    NaN            NaN    NaN        NaN       cadetblue
#02dj      1.08   0.05       NaN        86   10     NaN    NaN            NaN    NaN        NaN       cadetblue 
