JD    UVW1		UVW1Err		UVV		UVVErr

55797.9237  17.49    0.1   15.27    0.06  
55797.9906  17.23    0.1   15.10    0.06  
55799.0019  16.10    0.0   13.93    0.05  
55799.1297  15.89    0.0   13.79    0.04  
55799.2073  15.95    0.0   13.75    0.04  
55799.3974  15.77    0.0   13.65    0.04  
55799.5356  15.55    0.0   13.49    0.04  
55800.0650  15.31    0.0   13.12    0.04  
55800.2044  15.12    0.0   13.04    0.04  
55800.3383  15.02    0.0   12.99    0.04  
55800.6089  14.80    0.0   12.82    0.04  
55800.7340  14.71    0.0   12.76    0.04  
55800.8075  14.63    0.0   12.72    0.04  
55800.9344  14.65    0.0   12.69    0.04  
55801.0131  14.54    0.0   12.53    0.04  
55801.1381  14.47    0.0   12.46    0.04
55802.1542  13.75    0.0   12.31    0.04  
55802.2113  13.79    0.0   12.16    0.04  
55804.2943  12.40    0.0   11.32    0.04  
55805.4279  11.93    0.0   11.11    0.04  
55806.7623  11.49    0.0   10.85    0.04  
55807.0872  11.46    0.0   10.82    0.04  
55831.7981  13.21    0.0   10.89    0.04  
55831.7992  13.30    0.0   10.89    0.04  
55832.9896  13.50    0.0   10.93    0.04  
55833.4640  13.40    0.0   10.96    0.04  
55833.4657  13.48    0.0   10.94    0.04  
55835.4000  13.62    0.0   11.04    0.04  
55835.4670  13.76    0.0   11.06    0.04  
55836.5398  13.88    0.0   11.12    0.04 














































